Gene stable ID	Mouse gene stable ID	Mouse homology type	Gene name
ENSG00000291454			FAM197Y8
ENSG00000291455			TSPY8
ENSG00000291456			FAM197Y7
ENSG00000291458			TSPY4
ENSG00000291460			FAM197Y2
ENSG00000169807			PRY2
ENSG00000129816			TTTY1B
ENSG00000198692			EIF1AY
ENSG00000183753			BPY2
ENSG00000185700			TTTY8B
ENSG00000212855			TTTY2
ENSG00000233699			TTTY18
ENSG00000230663			FAM224B
ENSG00000224336			FAM197Y1
ENSG00000129845			TTTY1
ENSG00000183385			TTTY8
ENSG00000232419			TTTY19
ENSG00000226906			TTTY4
ENSG00000224075			TTTY22
ENSG00000236424			TSPY10
ENSG00000228240			TTTY17A
ENSG00000224989			FAM41AY1
ENSG00000131548			TTTY6B
ENSG00000229643			LINC00280
ENSG00000258992			TSPY1
ENSG00000237563			TTTY21B
ENSG00000215560			TTTY5
ENSG00000244395	ENSMUSG00000093918	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000093987	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000094511	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000102053	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000101667	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000095852	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000094658	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000091987	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000095948	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000096520	ortholog_many2many	RBMY1D
ENSG00000284255			OR4C12
ENSG00000229236			TTTY10
ENSG00000270073			TSPY6P
ENSG00000169953	ENSMUSG00000045336	ortholog_one2many	HSFY2
ENSG00000233522			FAM224A
ENSG00000226362			FAM41AY2
ENSG00000131007			TTTY9B
ENSG00000176728			TTTY14
ENSG00000012817	ENSMUSG00000056673	ortholog_one2one	KDM5D
ENSG00000285070			ADIPOR2
ENSG00000284953			CACNA2D4
ENSG00000285383			LRTM2
ENSG00000285233			LINC00940
ENSG00000284850			DCP1B
ENSG00000285107			CACNA1C-AS4
ENSG00000172468	ENSMUSG00000045336	ortholog_one2many	HSFY1
ENSG00000284942			CACNA1C-AS3
ENSG00000285101			CACNA1C-AS2
ENSG00000285335			CACNA1C-AS1
ENSG00000176679	ENSMUSG00000100133	ortholog_many2many	TGIF2LY
ENSG00000176679	ENSMUSG00000100194	ortholog_many2many	TGIF2LY
ENSG00000169800	ENSMUSG00000093918	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000093987	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000094511	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000102053	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000101667	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000095852	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000094658	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000091987	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000095948	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000096520	ortholog_many2many	RBMY1F
ENSG00000285479			CACNA1C
ENSG00000182415			CDY2A
ENSG00000185894			BPY2C
ENSG00000228296			TTTY4C
ENSG00000205916	ENSMUSG00000010592	ortholog_one2many	DAZ4
ENSG00000129873			CDY2B
ENSG00000184895	ENSMUSG00000069036	ortholog_one2one	SRY
ENSG00000129824			RPS4Y1
ENSG00000067646			ZFY
ENSG00000233070			ZFY-AS1
ENSG00000067048	ENSMUSG00000069045	ortholog_one2one	DDX3Y
ENSG00000280963			SERTAD4-AS1
ENSG00000281230			SERTAD4
ENSG00000280680			HHAT
ENSG00000183878	ENSMUSG00000068457	ortholog_one2one	UTY
ENSG00000154620	ENSMUSG00000049775	ortholog_one2one	TMSB4Y
ENSG00000129864			VCY
ENSG00000187191	ENSMUSG00000010592	ortholog_one2many	DAZ3
ENSG00000188120	ENSMUSG00000010592	ortholog_one2many	DAZ1
ENSG00000285289			LINC00596
ENSG00000285282			DHRS4-AS1
ENSG00000099721			AMELY
ENSG00000285221			CPNE6
ENSG00000092377	ENSMUSG00000025246	ortholog_one2many	TBL1Y
ENSG00000285493			NRL
ENSG00000285241			PCK2
ENSG00000284796			DCAF11
ENSG00000205944	ENSMUSG00000010592	ortholog_one2many	DAZ2
ENSG00000285321			FITM1
ENSG00000284916			PSME1
ENSG00000285377			EMC9
ENSG00000284889			PSME2
ENSG00000285152			RNF31
ENSG00000168757			TSPY2
ENSG00000285048			IRF9
ENSG00000285007			REC8
ENSG00000228787			NLGN4Y-AS1
ENSG00000242389	ENSMUSG00000093918	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000093987	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000094511	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000102053	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000101667	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000095852	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000094658	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000091987	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000095948	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000096520	ortholog_many2many	RBMY1E
ENSG00000285248			IPO4
ENSG00000285465			TM9SF1
ENSG00000165246			NLGN4Y
ENSG00000285140			TSSK4
ENSG00000285302			CHMP4A
ENSG00000285200			MDP1
ENSG00000285425			NEDD8-MDP1
ENSG00000231535			LINC00278
ENSG00000285246			NEDD8
ENSG00000284752			GMPR2
ENSG00000129862			VCY1B
ENSG00000284915			TINF2
ENSG00000280969			RPS4Y2
ENSG00000285348			TGM1
ENSG00000184991			TTTY13
ENSG00000285193			RABGGTA
ENSG00000284868			DHRS1
ENSG00000099715	ENSMUSG00000034755	ortholog_one2many	PCDH11Y
ENSG00000285326			NOP9
ENSG00000285199			CIDEB
ENSG00000285203			LTB4R2
ENSG00000285456			LTB4R
ENSG00000284814			ADCY4
ENSG00000172352			CDY1B
ENSG00000285379			RIPK3
ENSG00000227439			TTTY17B
ENSG00000235412			TTTY4B
ENSG00000183795			BPY2B
ENSG00000285485			NFATC4
ENSG00000223641			TTTY17C
ENSG00000240450			CSPG4P1Y
ENSG00000231141			TTTY3
ENSG00000284807			DHRS4
ENSG00000292270			DHRS4L2
ENSG00000172288			CDY1
ENSG00000226941	ENSMUSG00000093918	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000093987	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000094511	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000102053	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000101667	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000095852	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000094658	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000091987	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000095948	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000096520	ortholog_many2many	RBMY1J
ENSG00000242875	ENSMUSG00000093918	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000093987	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000094511	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000102053	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000101667	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000095852	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000094658	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000091987	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000095948	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000096520	ortholog_many2many	RBMY1B
ENSG00000234414	ENSMUSG00000093918	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000093987	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000094511	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000102053	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000101667	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000095852	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000094658	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000091987	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000095948	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000096520	ortholog_many2many	RBMY1A1
ENSG00000234803			FAM197Y2
ENSG00000285426			RNF187
ENSG00000250204			TTTY23B
ENSG00000290369			TTTY23B
ENSG00000284984			RHOU
ENSG00000180910			TTTY11
ENSG00000290381			TTTY11
ENSG00000230066			FAM197Y3
ENSG00000290607			FAM197Y3
ENSG00000232808			TTTY20
ENSG00000233803			TSPY4
ENSG00000280774			LEUTX
ENSG00000281320			DYRK1B
ENSG00000280548			FBL
ENSG00000225560			FAM197Y8
ENSG00000228383			FAM197Y7
ENSG00000237802			FAM197Y6
ENSG00000281221			PSMC4
ENSG00000229549			TSPY8
ENSG00000281526			ZNF546
ENSG00000228927			TSPY3
ENSG00000281601			ZNF780B
ENSG00000280568			ZNF780A
ENSG00000281123			FCGBP
ENSG00000292327			PPP2R3B
ENSG00000292331			ASMTL-AS1
ENSG00000292332			IL3RA
ENSG00000292333			P2RY8
ENSG00000292334			SLC25A6
ENSG00000292336			ASMT
ENSG00000292338			DHRSX
ENSG00000292339			ASMTL
ENSG00000292341			LINC00106
ENSG00000292342			LINC00685
ENSG00000292343			AKAP17A
ENSG00000292344			PLCXD1
ENSG00000292345			ZBED1
ENSG00000292347			LINC00102
ENSG00000292348			CD99
ENSG00000292354			SHOX
ENSG00000292357			CSF2RA
ENSG00000292358			GTPBP6
ENSG00000292363			CRLF2
ENSG00000292366			VAMP7
ENSG00000292370			WASIR1
ENSG00000292373			IL9R
ENSG00000285063			FRG2
ENSG00000283153			FRG1
ENSG00000283949			DUX4
ENSG00000288499			FAM20C
ENSG00000291465			GPR20
ENSG00000291470			PTP4A3
ENSG00000292254			SHANK3
ENSG00000291368			ACR
ENSG00000288269			GCGR
ENSG00000288186			PPP1R27
ENSG00000285312			C6orf52
ENSG00000285226			PAK1IP1
ENSG00000284936			TMEM14C
ENSG00000285222			GCNT2
ENSG00000291378			ARHGEF19-AS1
ENSG00000291381			ARHGEF19
ENSG00000291375			FBXO42
ENSG00000291379			SZRD1
ENSG00000291401			SPATA21
ENSG00000291380			NECAP2
ENSG00000291387			PADI2
ENSG00000292225			NBPF1
ENSG00000281449			BCL2L14
ENSG00000281324			LRP6
ENSG00000281818			MANSC1
ENSG00000281234			LOH12CR2
ENSG00000280962			DUSP16
ENSG00000281894			ZKSCAN7
ENSG00000280661			ZNF660
ENSG00000281709			ZNF197
ENSG00000280907			ZNF197-AS1
ENSG00000281306			ZNF35
ENSG00000281448			ZNF502
ENSG00000281661			ZNF501
ENSG00000281665			KIAA1143
ENSG00000280610			KIF15
ENSG00000280516			TMEM42
ENSG00000281886			TGM4
ENSG00000281626			ZNF852
ENSG00000291420			ACTG1
ENSG00000291488			ITGA9
ENSG00000288297			ECSCR
ENSG00000288485			ELP5
ENSG00000288292			CLDN7
ENSG00000288174			SLC2A4
ENSG00000288504			YBX2
ENSG00000288145			EIF5A
ENSG00000288325			GPS2
ENSG00000288301			NEURL4
ENSG00000288169			ACAP1
ENSG00000288399			KCTD11
ENSG00000288511			TMEM95
ENSG00000288512			C1R
ENSG00000288124			C1RL
ENSG00000288352			C1RL-AS1
ENSG00000288369			RBP5
ENSG00000288427			CLSTN3
ENSG00000288217			PEX5
ENSG00000281459			PADI1
ENSG00000280549			PADI3
ENSG00000280908			PADI4
ENSG00000281540			RCC2
ENSG00000261897			OR5T3
ENSG00000262851			OR5T2
ENSG00000262755			OR8K3
ENSG00000262611			OR8H1
ENSG00000262784			OR5T1
ENSG00000263328			OR8K1
ENSG00000262796			OR8J1
ENSG00000288411			SAA1
ENSG00000288445			HPS5
ENSG00000288114			GTF2H1
ENSG00000288299			LDHA
ENSG00000240770			C21orf91-OT1
ENSG00000231238			LINC00349
ENSG00000102699	ENSMUSG00000054509	ortholog_one2one	PARP4
ENSG00000231755			CHODL-AS1
ENSG00000154646	ENSMUSG00000022857	ortholog_one2one	TMPRSS15
ENSG00000027001	ENSMUSG00000021993	ortholog_one2one	MIPEP
ENSG00000224329			LINC00297
ENSG00000102781	ENSMUSG00000041298	ortholog_one2one	KATNAL1
ENSG00000154639	ENSMUSG00000044860	ortholog_one2many	CXADR
ENSG00000154639	ENSMUSG00000022865	ortholog_one2many	CXADR
ENSG00000224511			LINC00365
ENSG00000288435			GJA10
ENSG00000240868			C1QTNF9-AS1
ENSG00000132952	ENSMUSG00000041264	ortholog_one2one	USPL1
ENSG00000232117			LINC00384
ENSG00000183463			URAD
ENSG00000189403			HMGB1
ENSG00000238265			LINC00317
ENSG00000226935			LINC00161
ENSG00000224405			LINC00572
ENSG00000235097			LINC00330
ENSG00000179141			MTUS2-AS1
ENSG00000142207	ENSMUSG00000039929	ortholog_one2one	URB1
ENSG00000102753	ENSMUSG00000021929	ortholog_one2one	KPNA3
ENSG00000280584			OBP2B
ENSG00000281309			SURF6
ENSG00000281022			MED22
ENSG00000280858			RPL7A
ENSG00000230403			LINC01066
ENSG00000232263			KRTAP25-1
ENSG00000165475	ENSMUSG00000021947	ortholog_one2one	CRYL1
ENSG00000280627			SURF1
ENSG00000154721	ENSMUSG00000053062	ortholog_one2one	JAM2
ENSG00000281024			SURF2
ENSG00000280951			SURF4
ENSG00000237879			LINC00398
ENSG00000260388			LINC00562
ENSG00000280706			REXO4
ENSG00000165556	ENSMUSG00000029646	ortholog_one2one	CDX2
ENSG00000281244			ADAMTS13
ENSG00000230710			LINC00332
ENSG00000102547	ENSMUSG00000021981	ortholog_one2one	CAB39L
ENSG00000280479			CACFD1
ENSG00000281165			SLC2A6
ENSG00000156282	ENSMUSG00000055811	ortholog_one2one	CLDN17
ENSG00000166265	ENSMUSG00000041134	ortholog_one2one	CYYR1
ENSG00000243927	ENSMUSG00000039680	ortholog_one2one	MRPS6
ENSG00000225179			LINC00457
ENSG00000232643			LINC00385
ENSG00000120675	ENSMUSG00000022013	ortholog_one2one	DNAJC15
ENSG00000188694	ENSMUSG00000050239	ortholog_one2one	KRTAP24-1
ENSG00000198743	ENSMUSG00000089774	ortholog_one2one	SLC5A3
ENSG00000234772			LINC00412
ENSG00000159259	ENSMUSG00000022945	ortholog_one2one	CHAF1B
ENSG00000132975	ENSMUSG00000041468	ortholog_one2one	GPR12
ENSG00000236758			MTUS2-AS2
ENSG00000132970	ENSMUSG00000029636	ortholog_one2one	WASF3
ENSG00000229437			LINC00366
ENSG00000156304	ENSMUSG00000022983	ortholog_one2one	SCAF4
ENSG00000283781			TNK1
ENSG00000284483			TMEM256-PLSCR3
ENSG00000283771			TMEM256
ENSG00000283859			NLGN2
ENSG00000284598			SPEM1
ENSG00000284228			TMEM102
ENSG00000133110	ENSMUSG00000027750	ortholog_one2one	POSTN
ENSG00000283903			FGF11
ENSG00000283946			CHRNB1
ENSG00000283868			ZBTB4
ENSG00000284515			SLC35G6
ENSG00000284832			POLR2A
ENSG00000227342			LINC00307
ENSG00000154654	ENSMUSG00000022762	ortholog_one2one	NCAM2
ENSG00000184029			DSCR4
ENSG00000156284	ENSMUSG00000050520	ortholog_one2one	CLDN8
ENSG00000222018	ENSMUSG00000051728	ortholog_one2one	C21orf140
ENSG00000198054			DSCR8
ENSG00000291479			NAT8
ENSG00000291480			TPRKB
ENSG00000291483			DUSP11
ENSG00000281813			KAT6B
ENSG00000225298			LINC00113
ENSG00000237138			HUNK-AS1
ENSG00000291484			C2orf78
ENSG00000142149	ENSMUSG00000053414	ortholog_one2one	HUNK
ENSG00000154642	ENSMUSG00000022864	ortholog_one2one	C21orf91
ENSG00000184856			LINC00308
ENSG00000159256	ENSMUSG00000039456	ortholog_one2one	MORC3
ENSG00000102531	ENSMUSG00000033487	ortholog_one2one	FNDC3A
ENSG00000159086	ENSMUSG00000022974	ortholog_one2one	PAXBP1
ENSG00000281877			RPS6KA1
ENSG00000225350			FREM2-AS1
ENSG00000225249			LINC00378
ENSG00000227213			SPATA13-AS1
ENSG00000232162			USP12-AS1
ENSG00000237092			LINC01065
ENSG00000227528			DIAPH3-AS1
ENSG00000205929	ENSMUSG00000039851	ortholog_one2one	C21orf62
ENSG00000023516	ENSMUSG00000022016	ortholog_one2one	AKAP11
ENSG00000204899	ENSMUSG00000033186	ortholog_one2one	MZT1
ENSG00000233316			DSCR10
ENSG00000232954			LINC00374
ENSG00000120685	ENSMUSG00000049504	ortholog_one2one	PROSER1
ENSG00000230323			LINC00159
ENSG00000205726	ENSMUSG00000022957	ortholog_one2one	ITSN1
ENSG00000280831			RPS25
ENSG00000280495			TRAPPC4
ENSG00000083535	ENSMUSG00000022064	ortholog_one2one	PIBF1
ENSG00000280682			HYOU1
ENSG00000280616			VPS11
ENSG00000136122	ENSMUSG00000022070	ortholog_one2one	BORA
ENSG00000281500			SLC37A4
ENSG00000224853			LINC00393
ENSG00000150361	ENSMUSG00000022076	ortholog_one2one	KLHL1
ENSG00000122034	ENSMUSG00000016503	ortholog_one2one	GTF3A
ENSG00000283068			IBTK
ENSG00000283085			TPBG
ENSG00000236354			LINC00437
ENSG00000233840			PCDH9-AS4
ENSG00000230040			LINC00364
ENSG00000228842			PCDH9-AS2
ENSG00000120690	ENSMUSG00000036461	ortholog_one2one	ELF1
ENSG00000281614			INPP5D
ENSG00000281089			ATG16L1
ENSG00000136155	ENSMUSG00000022123	ortholog_one2one	SCEL
ENSG00000281857			SAG
ENSG00000291498			CNOT10-AS1
ENSG00000291501			TRIM71
ENSG00000291502			CNOT10
ENSG00000282739			SLC25A26
ENSG00000150893	ENSMUSG00000037016	ortholog_one2one	FREM2
ENSG00000284068			KPNA7
ENSG00000225427			LINC00331
ENSG00000204918			PRR20B
ENSG00000136111	ENSMUSG00000033083	ortholog_one2one	TBC1D4
ENSG00000233349			LINC00333
ENSG00000227151			PRR20D
ENSG00000136158	ENSMUSG00000022114	ortholog_one2one	SPRY2
ENSG00000281917			SLC16A1
ENSG00000234278			PRR20E
ENSG00000120686	ENSMUSG00000027746	ortholog_one2one	UFM1
ENSG00000102554	ENSMUSG00000005148	ortholog_one2one	KLF5
ENSG00000227354			RBM26-AS1
ENSG00000237001			WASF3-AS1
ENSG00000225263			PCDH9-AS3
ENSG00000134882	ENSMUSG00000041765	ortholog_one2one	UBAC2
ENSG00000284900			KBTBD4
ENSG00000133119	ENSMUSG00000033970	ortholog_one2one	RFC3
ENSG00000284938			FAM180B
ENSG00000284838			C1QTNF4
ENSG00000285501			AGBL2
ENSG00000285182			FNBP4
ENSG00000285121			MTCH2
ENSG00000152192	ENSMUSG00000048349	ortholog_one2one	POU4F1
ENSG00000182957	ENSMUSG00000021990	ortholog_one2one	SPATA13
ENSG00000281178			MLXIP
ENSG00000288401			CTTN
ENSG00000188811	ENSMUSG00000042997	ortholog_one2one	NHLRC3
ENSG00000288198			PPFIA1
ENSG00000102837	ENSMUSG00000022026	ortholog_one2one	OLFM4
ENSG00000204919			PRR20A
ENSG00000223880			LINC01078
ENSG00000065150	ENSMUSG00000030662	ortholog_one2one	IPO5
ENSG00000281865			LINC00411
ENSG00000159261	ENSMUSG00000047109	ortholog_one2one	CLDN14
ENSG00000291505			CCDC40
ENSG00000291507			GAA
ENSG00000157542	ENSMUSG00000043301	ortholog_one2one	KCNJ6
ENSG00000285395			XYLT1
ENSG00000291508			EIF4A3
ENSG00000154645	ENSMUSG00000022860	ortholog_one2one	CHODL
ENSG00000139734	ENSMUSG00000022021	ortholog_one2one	DIAPH3
ENSG00000227456			LINC00310
ENSG00000291554			RTP1
ENSG00000291555			RTP4
ENSG00000178457			LINC00314
ENSG00000291559			MASP1
ENSG00000160307	ENSMUSG00000033208	ortholog_one2one	S100B
ENSG00000156273	ENSMUSG00000025612	ortholog_one2one	BACH1
ENSG00000223662			SAMSN1-AS1
ENSG00000223806			LINC00114
ENSG00000157557	ENSMUSG00000022895	ortholog_one2one	ETS2
ENSG00000291520			NXNL2
ENSG00000158270	ENSMUSG00000036103	ortholog_one2one	COLEC12
ENSG00000118946	ENSMUSG00000035566	ortholog_one2one	PCDH17
ENSG00000234660			LINC00440
ENSG00000271216			LINC01050
ENSG00000157551	ENSMUSG00000062609	ortholog_one2one	KCNJ15
ENSG00000152484	ENSMUSG00000029640	ortholog_one2one	USP12
ENSG00000229249			LINC00446
ENSG00000120688	ENSMUSG00000022023	ortholog_one2one	WBP4
ENSG00000264575			LINC00526
ENSG00000141401	ENSMUSG00000024525	ortholog_one2one	IMPA2
ENSG00000261666			LINC00560
ENSG00000180440	ENSMUSG00000056306	ortholog_one2one	SERTM1
ENSG00000205758	ENSMUSG00000058240	ortholog_one2one	CRYZL1
ENSG00000139514	ENSMUSG00000041313	ortholog_one2one	SLC7A1
ENSG00000288508			ISLR
ENSG00000288257			STRA6
ENSG00000088386	ENSMUSG00000025557	ortholog_one2one	SLC15A1
ENSG00000291574			TMEM131
ENSG00000291581			FAHD2B
ENSG00000288407			CCDC33
ENSG00000291582			ANKRD36
ENSG00000168461	ENSMUSG00000056515	ortholog_one2one	RAB31
ENSG00000288362			CYP11A1
ENSG00000288455			SEMA7A
ENSG00000132204			LINC00470
ENSG00000291596			COX5B
ENSG00000288408			UBL7
ENSG00000156239	ENSMUSG00000044442	ortholog_one2one	N6AMT1
ENSG00000291597			ACTR1B
ENSG00000234650			PCCA-AS1
ENSG00000236463			LINC00427
ENSG00000260704			LINC00543
ENSG00000150907	ENSMUSG00000044167	ortholog_one2one	FOXO1
ENSG00000224418			STK24-AS1
ENSG00000154736	ENSMUSG00000022894	ortholog_one2one	ADAMTS5
ENSG00000226240			LINC00381
ENSG00000136152	ENSMUSG00000034893	ortholog_one2one	COG3
ENSG00000291603			ZAP70
ENSG00000275631	ENSMUSG00000088258	ortholog_one2many	U1
ENSG00000176105	ENSMUSG00000014932	ortholog_one2one	YES1
ENSG00000157617	ENSMUSG00000045975	ortholog_one2one	C2CD2
ENSG00000136141	ENSMUSG00000068015	ortholog_one2one	LRCH1
ENSG00000282825			CTIF
ENSG00000173276	ENSMUSG00000046962	ortholog_one2one	ZBTB21
ENSG00000197705	ENSMUSG00000042514	ortholog_one2one	KLHL14
ENSG00000229546			LINC00428
ENSG00000230390			LINC01048
ENSG00000224347			SCEL-AS1
ENSG00000229011			LINC01038
ENSG00000237232			ZNF295-AS1
ENSG00000102543	ENSMUSG00000021982	ortholog_one2one	CDADC1
ENSG00000280477			RASA3
ENSG00000230978			LINC00160
ENSG00000159228	ENSMUSG00000082815	ortholog_one2many	CBR1
ENSG00000159228	ENSMUSG00000051483	ortholog_one2many	CBR1
ENSG00000233528			LINC00430
ENSG00000083520	ENSMUSG00000033166	ortholog_one2one	DIS3
ENSG00000229876			CASC20
ENSG00000159231	ENSMUSG00000022947	ortholog_one2one	CBR3
ENSG00000260372			AQP4-AS1
ENSG00000171873	ENSMUSG00000027335	ortholog_one2one	ADRA1D
ENSG00000101282	ENSMUSG00000032852	ortholog_one2one	RSPO4
ENSG00000159216	ENSMUSG00000022952	ortholog_one2one	RUNX1
ENSG00000125903	ENSMUSG00000074681	ortholog_one2one	DEFB129
ENSG00000101280	ENSMUSG00000027460	ortholog_one2one	ANGPT4
ENSG00000291534			LTN1
ENSG00000178127	ENSMUSG00000024099	ortholog_one2one	NDUFV2
ENSG00000291523			RWDD2B
ENSG00000089012	ENSMUSG00000037902	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000095028	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000078783	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000074677	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000078780	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000095788	ortholog_many2many	SIRPG
ENSG00000291527			USP16
ENSG00000291533			CCT8
ENSG00000281252			FAM230C
ENSG00000291525			MAP3K7CL
ENSG00000166979	ENSMUSG00000039903	ortholog_one2one	EVA1C
ENSG00000291536			U3
ENSG00000149346	ENSMUSG00000027281	ortholog_one2one	SLX4IP
ENSG00000154889	ENSMUSG00000062526	ortholog_one2one	MPPE1
ENSG00000178591	ENSMUSG00000074680	ortholog_one2one	DEFB125
ENSG00000125820	ENSMUSG00000027434	ortholog_one2one	NKX2-2
ENSG00000125845	ENSMUSG00000027358	ortholog_one2one	BMP2
ENSG00000226317			LINC00351
ENSG00000101327	ENSMUSG00000027400	ortholog_one2one	PDYN
ENSG00000133103	ENSMUSG00000027742	ortholog_one2one	COG6
ENSG00000125898	ENSMUSG00000027459	ortholog_one2one	FAM110A
ENSG00000173404	ENSMUSG00000068154	ortholog_one2one	INSM1
