Gene stable ID	Gene stable ID version	Mouse gene stable ID	Mouse gene name	Gene name	Mouse homology type
ENSG00000067646	ENSG00000067646.12			ZFY	
ENSG00000233070	ENSG00000233070.1			ZFY-AS1	
ENSG00000067048	ENSG00000067048.17	ENSMUSG00000069045	Ddx3y	DDX3Y	ortholog_one2one
ENSG00000280963	ENSG00000280963.2			SERTAD4-AS1	
ENSG00000281230	ENSG00000281230.3			SERTAD4	
ENSG00000280680	ENSG00000280680.3			HHAT	
ENSG00000183878	ENSG00000183878.16	ENSMUSG00000068457	Uty	UTY	ortholog_one2one
ENSG00000154620	ENSG00000154620.6	ENSMUSG00000049775	Tmsb4x	TMSB4Y	ortholog_one2one
ENSG00000285289	ENSG00000285289.1			LINC00596	
ENSG00000092377	ENSG00000092377.15	ENSMUSG00000025246	Tbl1x	TBL1Y	ortholog_one2many
ENSG00000285493	ENSG00000285493.3			NRL	
ENSG00000285241	ENSG00000285241.2			PCK2	
ENSG00000284796	ENSG00000284796.3			DCAF11	
ENSG00000285321	ENSG00000285321.1			FITM1	
ENSG00000284916	ENSG00000284916.2			PSME1	
ENSG00000285377	ENSG00000285377.2			EMC9	
ENSG00000284889	ENSG00000284889.2			PSME2	
ENSG00000285152	ENSG00000285152.2			RNF31	
ENSG00000285007	ENSG00000285007.2			REC8	
ENSG00000285248	ENSG00000285248.2			IPO4	
ENSG00000165246	ENSG00000165246.15			NLGN4Y	
ENSG00000285302	ENSG00000285302.5			CHMP4A	
ENSG00000285200	ENSG00000285200.2			MDP1	
ENSG00000285425	ENSG00000285425.1			NEDD8-MDP1	
ENSG00000231535	ENSG00000231535.8			LINC00278	
ENSG00000285246	ENSG00000285246.2			NEDD8	
ENSG00000284752	ENSG00000284752.3			GMPR2	
ENSG00000284915	ENSG00000284915.3			TINF2	
ENSG00000280969	ENSG00000280969.2			RPS4Y2	
ENSG00000285348	ENSG00000285348.2			TGM1	
ENSG00000285193	ENSG00000285193.1			RABGGTA	
ENSG00000284868	ENSG00000284868.2			DHRS1	
ENSG00000099715	ENSG00000099715.15	ENSMUSG00000034755	Pcdh11x	PCDH11Y	ortholog_one2many
ENSG00000285326	ENSG00000285326.3			NOP9	
ENSG00000285199	ENSG00000285199.1			CIDEB	
ENSG00000285456	ENSG00000285456.2			LTB4R	
ENSG00000284814	ENSG00000284814.1			ADCY4	
ENSG00000285379	ENSG00000285379.2			RIPK3	
ENSG00000235412	ENSG00000235412.1			TTTY4B	
ENSG00000285485	ENSG00000285485.2			NFATC4	
ENSG00000284807	ENSG00000284807.3			DHRS4	
ENSG00000292270	ENSG00000292270.1			DHRS4L2	
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000093918	Gm21677	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000093987	Gm21704	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000094511	Gm21693	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000102053	Gm4064	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000101667	Gm29289	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000095852	Gm10256	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000094658	Rbmy	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000091987	Gm10352	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000095948	Gm21708	RBMY1J	ortholog_many2many
ENSG00000226941	ENSG00000226941.9	ENSMUSG00000096520	Gm3376	RBMY1J	ortholog_many2many
ENSG00000285426	ENSG00000285426.4			RNF187	
ENSG00000284984	ENSG00000284984.2			RHOU	
ENSG00000180910	ENSG00000180910.9			TTTY11	
ENSG00000290381	ENSG00000290381.1			TTTY11	
ENSG00000281320	ENSG00000281320.3			DYRK1B	
ENSG00000280548	ENSG00000280548.4			FBL	
ENSG00000281221	ENSG00000281221.3			PSMC4	
ENSG00000281526	ENSG00000281526.3			ZNF546	
ENSG00000281601	ENSG00000281601.5			ZNF780B	
ENSG00000280568	ENSG00000280568.2			ZNF780A	
ENSG00000281123	ENSG00000281123.4			FCGBP	
ENSG00000292327	ENSG00000292327.1			PPP2R3B	
ENSG00000292331	ENSG00000292331.1			ASMTL-AS1	
ENSG00000292332	ENSG00000292332.1			IL3RA	
ENSG00000292333	ENSG00000292333.1			P2RY8	
ENSG00000292334	ENSG00000292334.1			SLC25A6	
ENSG00000292336	ENSG00000292336.1			ASMT	
ENSG00000292338	ENSG00000292338.1			DHRSX	
ENSG00000292339	ENSG00000292339.1			ASMTL	
ENSG00000292341	ENSG00000292341.1			LINC00106	
ENSG00000292342	ENSG00000292342.1			LINC00685	
ENSG00000292343	ENSG00000292343.1			AKAP17A	
ENSG00000292344	ENSG00000292344.1			PLCXD1	
ENSG00000292347	ENSG00000292347.1			LINC00102	
ENSG00000292348	ENSG00000292348.1			CD99	
ENSG00000292354	ENSG00000292354.1			SHOX	
ENSG00000292357	ENSG00000292357.1			CSF2RA	
ENSG00000292358	ENSG00000292358.1			GTPBP6	
ENSG00000292363	ENSG00000292363.1			CRLF2	
ENSG00000292366	ENSG00000292366.1			VAMP7	
ENSG00000292373	ENSG00000292373.1			IL9R	
ENSG00000283153	ENSG00000283153.2			FRG1	
ENSG00000288499	ENSG00000288499.1			FAM20C	
ENSG00000291465	ENSG00000291465.1			GPR20	
ENSG00000291470	ENSG00000291470.1			PTP4A3	
ENSG00000292254	ENSG00000292254.1			SHANK3	
ENSG00000291368	ENSG00000291368.1			ACR	
ENSG00000288269	ENSG00000288269.1			GCGR	
ENSG00000288186	ENSG00000288186.1			PPP1R27	
ENSG00000285312	ENSG00000285312.1			C6orf52	
ENSG00000285226	ENSG00000285226.2			PAK1IP1	
ENSG00000284936	ENSG00000284936.2			TMEM14C	
ENSG00000285222	ENSG00000285222.3			GCNT2	
ENSG00000291378	ENSG00000291378.1			ARHGEF19-AS1	
ENSG00000291381	ENSG00000291381.1			ARHGEF19	
ENSG00000291375	ENSG00000291375.1			FBXO42	
ENSG00000291379	ENSG00000291379.1			SZRD1	
ENSG00000291401	ENSG00000291401.1			SPATA21	
ENSG00000291380	ENSG00000291380.1			NECAP2	
ENSG00000291387	ENSG00000291387.1			PADI2	
ENSG00000292225	ENSG00000292225.1			NBPF1	
ENSG00000281449	ENSG00000281449.2			BCL2L14	
ENSG00000281324	ENSG00000281324.3			LRP6	
ENSG00000281818	ENSG00000281818.3			MANSC1	
ENSG00000281234	ENSG00000281234.1			LOH12CR2	
ENSG00000280962	ENSG00000280962.3			DUSP16	
ENSG00000281894	ENSG00000281894.3			ZKSCAN7	
ENSG00000281709	ENSG00000281709.3			ZNF197	
ENSG00000281306	ENSG00000281306.3			ZNF35	
ENSG00000281448	ENSG00000281448.3			ZNF502	
ENSG00000281661	ENSG00000281661.3			ZNF501	
ENSG00000281665	ENSG00000281665.2			KIAA1143	
ENSG00000280610	ENSG00000280610.3			KIF15	
ENSG00000281886	ENSG00000281886.3			TGM4	
ENSG00000281626	ENSG00000281626.5			ZNF852	
ENSG00000291420	ENSG00000291420.1			ACTG1	
ENSG00000291488	ENSG00000291488.1			ITGA9	
ENSG00000288297	ENSG00000288297.1			ECSCR	
ENSG00000288485	ENSG00000288485.1			ELP5	
ENSG00000288292	ENSG00000288292.1			CLDN7	
ENSG00000288174	ENSG00000288174.1			SLC2A4	
ENSG00000288504	ENSG00000288504.1			YBX2	
ENSG00000288145	ENSG00000288145.1			EIF5A	
ENSG00000288325	ENSG00000288325.1			GPS2	
ENSG00000288301	ENSG00000288301.1			NEURL4	
ENSG00000288169	ENSG00000288169.1			ACAP1	
ENSG00000288399	ENSG00000288399.2			KCTD11	
ENSG00000288512	ENSG00000288512.1			C1R	
ENSG00000288124	ENSG00000288124.1			C1RL	
ENSG00000288352	ENSG00000288352.1			C1RL-AS1	
ENSG00000288369	ENSG00000288369.1			RBP5	
ENSG00000288427	ENSG00000288427.1			CLSTN3	
ENSG00000288217	ENSG00000288217.3			PEX5	
ENSG00000281459	ENSG00000281459.3			PADI1	
ENSG00000280549	ENSG00000280549.1			PADI3	
ENSG00000280908	ENSG00000280908.2			PADI4	
ENSG00000281540	ENSG00000281540.3			RCC2	
ENSG00000288411	ENSG00000288411.1			SAA1	
ENSG00000288445	ENSG00000288445.2			HPS5	
ENSG00000288114	ENSG00000288114.1			GTF2H1	
ENSG00000288299	ENSG00000288299.1			LDHA	
ENSG00000240770	ENSG00000240770.5			C21orf91-OT1	
ENSG00000102699	ENSG00000102699.6	ENSMUSG00000054509	Parp4	PARP4	ortholog_one2one
ENSG00000231755	ENSG00000231755.1			CHODL-AS1	
ENSG00000154646	ENSG00000154646.9	ENSMUSG00000022857	Tmprss15	TMPRSS15	ortholog_one2one
ENSG00000027001	ENSG00000027001.10	ENSMUSG00000021993	Mipep	MIPEP	ortholog_one2one
ENSG00000102781	ENSG00000102781.14	ENSMUSG00000041298	Katnal1	KATNAL1	ortholog_one2one
ENSG00000154639	ENSG00000154639.19	ENSMUSG00000044860	Gm1123	CXADR	ortholog_one2many
ENSG00000154639	ENSG00000154639.19	ENSMUSG00000022865	Cxadr	CXADR	ortholog_one2many
ENSG00000224511	ENSG00000224511.2			LINC00365	
ENSG00000132952	ENSG00000132952.12	ENSMUSG00000041264	Uspl1	USPL1	ortholog_one2one
ENSG00000183463	ENSG00000183463.6			URAD	
ENSG00000189403	ENSG00000189403.15			HMGB1	
ENSG00000238265	ENSG00000238265.1			LINC00317	
ENSG00000235097	ENSG00000235097.1			LINC00330	
ENSG00000179141	ENSG00000179141.9			MTUS2-AS1	
ENSG00000142207	ENSG00000142207.7	ENSMUSG00000039929	Urb1	URB1	ortholog_one2one
ENSG00000102753	ENSG00000102753.10	ENSMUSG00000021929	Kpna3	KPNA3	ortholog_one2one
ENSG00000281309	ENSG00000281309.2			SURF6	
ENSG00000281022	ENSG00000281022.3			MED22	
ENSG00000280858	ENSG00000280858.3			RPL7A	
ENSG00000165475	ENSG00000165475.15	ENSMUSG00000021947	Cryl1	CRYL1	ortholog_one2one
ENSG00000280627	ENSG00000280627.3			SURF1	
ENSG00000154721	ENSG00000154721.15	ENSMUSG00000053062	Jam2	JAM2	ortholog_one2one
ENSG00000281024	ENSG00000281024.3			SURF2	
ENSG00000280951	ENSG00000280951.3			SURF4	
ENSG00000237879	ENSG00000237879.1			LINC00398	
ENSG00000260388	ENSG00000260388.2			LINC00562	
ENSG00000280706	ENSG00000280706.3			REXO4	
ENSG00000165556	ENSG00000165556.10	ENSMUSG00000029646	Cdx2	CDX2	ortholog_one2one
ENSG00000281244	ENSG00000281244.2			ADAMTS13	
ENSG00000102547	ENSG00000102547.19	ENSMUSG00000021981	Cab39l	CAB39L	ortholog_one2one
ENSG00000280479	ENSG00000280479.2			CACFD1	
ENSG00000281165	ENSG00000281165.3			SLC2A6	
ENSG00000166265	ENSG00000166265.13	ENSMUSG00000041134	Cyyr1	CYYR1	ortholog_one2one
ENSG00000243927	ENSG00000243927.6	ENSMUSG00000039680	Mrps6	MRPS6	ortholog_one2one
ENSG00000225179	ENSG00000225179.2			LINC00457	
ENSG00000120675	ENSG00000120675.6	ENSMUSG00000022013	Dnajc15	DNAJC15	ortholog_one2one
ENSG00000159259	ENSG00000159259.8	ENSMUSG00000022945	Chaf1b	CHAF1B	ortholog_one2one
ENSG00000132975	ENSG00000132975.8	ENSMUSG00000041468	Gpr12	GPR12	ortholog_one2one
ENSG00000236758	ENSG00000236758.5			MTUS2-AS2	
ENSG00000132970	ENSG00000132970.14	ENSMUSG00000029636	Wasf3	WASF3	ortholog_one2one
ENSG00000156304	ENSG00000156304.15	ENSMUSG00000022983	Scaf4	SCAF4	ortholog_one2one
ENSG00000283781	ENSG00000283781.1			TNK1	
ENSG00000284483	ENSG00000284483.1			TMEM256-PLSCR3	
ENSG00000283771	ENSG00000283771.2			TMEM256	
ENSG00000283859	ENSG00000283859.2			NLGN2	
ENSG00000284228	ENSG00000284228.2			TMEM102	
ENSG00000133110	ENSG00000133110.15	ENSMUSG00000027750	Postn	POSTN	ortholog_one2one
ENSG00000283903	ENSG00000283903.2			FGF11	
ENSG00000283946	ENSG00000283946.2			CHRNB1	
ENSG00000283868	ENSG00000283868.2			ZBTB4	
ENSG00000284832	ENSG00000284832.2			POLR2A	
ENSG00000154654	ENSG00000154654.15	ENSMUSG00000022762	Ncam2	NCAM2	ortholog_one2one
ENSG00000184029	ENSG00000184029.9			DSCR4	
ENSG00000156284	ENSG00000156284.6	ENSMUSG00000050520	Cldn8	CLDN8	ortholog_one2one
ENSG00000198054	ENSG00000198054.12			DSCR8	
ENSG00000291480	ENSG00000291480.1			TPRKB	
ENSG00000291483	ENSG00000291483.1			DUSP11	
ENSG00000281813	ENSG00000281813.4			KAT6B	
ENSG00000225298	ENSG00000225298.5			LINC00113	
ENSG00000291484	ENSG00000291484.1			C2orf78	
ENSG00000142149	ENSG00000142149.9	ENSMUSG00000053414	Hunk	HUNK	ortholog_one2one
ENSG00000154642	ENSG00000154642.11	ENSMUSG00000022864	D16Ertd472e	C21orf91	ortholog_one2one
ENSG00000159256	ENSG00000159256.13	ENSMUSG00000039456	Morc3	MORC3	ortholog_one2one
ENSG00000102531	ENSG00000102531.16	ENSMUSG00000033487	Fndc3a	FNDC3A	ortholog_one2one
ENSG00000159086	ENSG00000159086.15	ENSMUSG00000022974	Paxbp1	PAXBP1	ortholog_one2one
ENSG00000281877	ENSG00000281877.3			RPS6KA1	
ENSG00000225350	ENSG00000225350.1			FREM2-AS1	
ENSG00000232162	ENSG00000232162.1			USP12-AS1	
ENSG00000227528	ENSG00000227528.6			DIAPH3-AS1	
ENSG00000205929	ENSG00000205929.11	ENSMUSG00000039851	4932438H23Rik	C21orf62	ortholog_one2one
ENSG00000023516	ENSG00000023516.9	ENSMUSG00000022016	Akap11	AKAP11	ortholog_one2one
ENSG00000204899	ENSG00000204899.6	ENSMUSG00000033186	Mzt1	MZT1	ortholog_one2one
ENSG00000232954	ENSG00000232954.2			LINC00374	
ENSG00000120685	ENSG00000120685.20	ENSMUSG00000049504	Proser1	PROSER1	ortholog_one2one
ENSG00000230323	ENSG00000230323.6			LINC00159	
ENSG00000205726	ENSG00000205726.15	ENSMUSG00000022957	Itsn1	ITSN1	ortholog_one2one
ENSG00000280831	ENSG00000280831.3			RPS25	
ENSG00000280495	ENSG00000280495.5			TRAPPC4	
ENSG00000083535	ENSG00000083535.16	ENSMUSG00000022064	Pibf1	PIBF1	ortholog_one2one
ENSG00000280682	ENSG00000280682.3			HYOU1	
ENSG00000280616	ENSG00000280616.4			VPS11	
ENSG00000136122	ENSG00000136122.18	ENSMUSG00000022070	Bora	BORA	ortholog_one2one
ENSG00000281500	ENSG00000281500.4			SLC37A4	
ENSG00000224853	ENSG00000224853.3			LINC00393	
ENSG00000150361	ENSG00000150361.12	ENSMUSG00000022076	Klhl1	KLHL1	ortholog_one2one
ENSG00000122034	ENSG00000122034.17	ENSMUSG00000016503	Gtf3a	GTF3A	ortholog_one2one
ENSG00000283068	ENSG00000283068.2			IBTK	
ENSG00000283085	ENSG00000283085.3			TPBG	
ENSG00000236354	ENSG00000236354.1			LINC00437	
ENSG00000233840	ENSG00000233840.1			PCDH9-AS4	
ENSG00000228842	ENSG00000228842.3			PCDH9-AS2	
ENSG00000120690	ENSG00000120690.16	ENSMUSG00000036461	Elf1	ELF1	ortholog_one2one
ENSG00000281614	ENSG00000281614.3			INPP5D	
ENSG00000281089	ENSG00000281089.3			ATG16L1	
ENSG00000136155	ENSG00000136155.17	ENSMUSG00000022123	Scel	SCEL	ortholog_one2one
ENSG00000281857	ENSG00000281857.3			SAG	
ENSG00000291498	ENSG00000291498.1			CNOT10-AS1	
ENSG00000291501	ENSG00000291501.1			TRIM71	
ENSG00000291502	ENSG00000291502.1			CNOT10	
ENSG00000282739	ENSG00000282739.1			SLC25A26	
ENSG00000150893	ENSG00000150893.11	ENSMUSG00000037016	Frem2	FREM2	ortholog_one2one
ENSG00000284068	ENSG00000284068.1			KPNA7	
ENSG00000136111	ENSG00000136111.14	ENSMUSG00000033083	Tbc1d4	TBC1D4	ortholog_one2one
ENSG00000136158	ENSG00000136158.12	ENSMUSG00000022114	Spry2	SPRY2	ortholog_one2one
ENSG00000281917	ENSG00000281917.4			SLC16A1	
ENSG00000120686	ENSG00000120686.12	ENSMUSG00000027746	Ufm1	UFM1	ortholog_one2one
ENSG00000102554	ENSG00000102554.14	ENSMUSG00000005148	Klf5	KLF5	ortholog_one2one
ENSG00000227354	ENSG00000227354.7			RBM26-AS1	
ENSG00000237001	ENSG00000237001.7			WASF3-AS1	
ENSG00000225263	ENSG00000225263.1			PCDH9-AS3	
ENSG00000134882	ENSG00000134882.16	ENSMUSG00000041765	Ubac2	UBAC2	ortholog_one2one
ENSG00000284900	ENSG00000284900.2			KBTBD4	
ENSG00000133119	ENSG00000133119.13	ENSMUSG00000033970	Rfc3	RFC3	ortholog_one2one
ENSG00000284938	ENSG00000284938.4			FAM180B	
ENSG00000284838	ENSG00000284838.2			C1QTNF4	
ENSG00000285501	ENSG00000285501.2			AGBL2	
ENSG00000285182	ENSG00000285182.2			FNBP4	
ENSG00000285121	ENSG00000285121.2			MTCH2	
ENSG00000152192	ENSG00000152192.8	ENSMUSG00000048349	Pou4f1	POU4F1	ortholog_one2one
ENSG00000281178	ENSG00000281178.4			MLXIP	
ENSG00000288401	ENSG00000288401.1			CTTN	
ENSG00000188811	ENSG00000188811.14	ENSMUSG00000042997	Nhlrc3	NHLRC3	ortholog_one2one
ENSG00000288198	ENSG00000288198.2			PPFIA1	
ENSG00000102837	ENSG00000102837.7	ENSMUSG00000022026	Olfm4	OLFM4	ortholog_one2one
ENSG00000065150	ENSG00000065150.21	ENSMUSG00000030662	Ipo5	IPO5	ortholog_one2one
ENSG00000159261	ENSG00000159261.12	ENSMUSG00000047109	Cldn14	CLDN14	ortholog_one2one
ENSG00000291505	ENSG00000291505.1			CCDC40	
ENSG00000291507	ENSG00000291507.1			GAA	
ENSG00000157542	ENSG00000157542.11	ENSMUSG00000043301	Kcnj6	KCNJ6	ortholog_one2one
ENSG00000285395	ENSG00000285395.3			XYLT1	
ENSG00000291508	ENSG00000291508.1			EIF4A3	
ENSG00000154645	ENSG00000154645.14	ENSMUSG00000022860	Chodl	CHODL	ortholog_one2one
ENSG00000139734	ENSG00000139734.19	ENSMUSG00000022021	Diaph3	DIAPH3	ortholog_one2one
ENSG00000227456	ENSG00000227456.9			LINC00310	
ENSG00000291555	ENSG00000291555.1			RTP4	
ENSG00000178457	ENSG00000178457.3			LINC00314	
ENSG00000291559	ENSG00000291559.1			MASP1	
ENSG00000160307	ENSG00000160307.10	ENSMUSG00000033208	S100b	S100B	ortholog_one2one
ENSG00000156273	ENSG00000156273.16	ENSMUSG00000025612	Bach1	BACH1	ortholog_one2one
ENSG00000223662	ENSG00000223662.1			SAMSN1-AS1	
ENSG00000223806	ENSG00000223806.8			LINC00114	
ENSG00000157557	ENSG00000157557.13	ENSMUSG00000022895	Ets2	ETS2	ortholog_one2one
ENSG00000291520	ENSG00000291520.1			NXNL2	
ENSG00000158270	ENSG00000158270.12	ENSMUSG00000036103	Colec12	COLEC12	ortholog_one2one
ENSG00000118946	ENSG00000118946.12	ENSMUSG00000035566	Pcdh17	PCDH17	ortholog_one2one
ENSG00000157551	ENSG00000157551.19	ENSMUSG00000062609	Kcnj15	KCNJ15	ortholog_one2one
ENSG00000152484	ENSG00000152484.14	ENSMUSG00000029640	Usp12	USP12	ortholog_one2one
ENSG00000120688	ENSG00000120688.9	ENSMUSG00000022023	Wbp4	WBP4	ortholog_one2one
ENSG00000141401	ENSG00000141401.12	ENSMUSG00000024525	Impa2	IMPA2	ortholog_one2one
ENSG00000180440	ENSG00000180440.4	ENSMUSG00000056306	Sertm1	SERTM1	ortholog_one2one
ENSG00000139514	ENSG00000139514.13	ENSMUSG00000041313	Slc7a1	SLC7A1	ortholog_one2one
ENSG00000288508	ENSG00000288508.1			ISLR	
ENSG00000288257	ENSG00000288257.1			STRA6	
ENSG00000088386	ENSG00000088386.17	ENSMUSG00000025557	Slc15a1	SLC15A1	ortholog_one2one
ENSG00000291574	ENSG00000291574.1			TMEM131	
ENSG00000291581	ENSG00000291581.1			FAHD2B	
ENSG00000288407	ENSG00000288407.1			CCDC33	
ENSG00000291582	ENSG00000291582.1			ANKRD36	
ENSG00000168461	ENSG00000168461.13	ENSMUSG00000056515	Rab31	RAB31	ortholog_one2one
ENSG00000288362	ENSG00000288362.1			CYP11A1	
ENSG00000288455	ENSG00000288455.1			SEMA7A	
ENSG00000132204	ENSG00000132204.14			LINC00470	
ENSG00000291596	ENSG00000291596.1			COX5B	
ENSG00000288408	ENSG00000288408.1			UBL7	
ENSG00000156239	ENSG00000156239.12	ENSMUSG00000044442	N6amt1	N6AMT1	ortholog_one2one
ENSG00000291597	ENSG00000291597.1			ACTR1B	
ENSG00000234650	ENSG00000234650.6			PCCA-AS1	
ENSG00000260704	ENSG00000260704.1			LINC00543	
ENSG00000150907	ENSG00000150907.10	ENSMUSG00000044167	Foxo1	FOXO1	ortholog_one2one
ENSG00000224418	ENSG00000224418.1			STK24-AS1	
ENSG00000154736	ENSG00000154736.6	ENSMUSG00000022894	Adamts5	ADAMTS5	ortholog_one2one
ENSG00000226240	ENSG00000226240.2			LINC00381	
ENSG00000136152	ENSG00000136152.15	ENSMUSG00000034893	Cog3	COG3	ortholog_one2one
ENSG00000291603	ENSG00000291603.1			ZAP70	
ENSG00000275631	ENSG00000275631.1	ENSMUSG00000088258	Gm24291	U1	ortholog_one2many
ENSG00000176105	ENSG00000176105.14	ENSMUSG00000014932	Yes1	YES1	ortholog_one2one
ENSG00000157617	ENSG00000157617.17	ENSMUSG00000045975	C2cd2	C2CD2	ortholog_one2one
ENSG00000136141	ENSG00000136141.15	ENSMUSG00000068015	Lrch1	LRCH1	ortholog_one2one
ENSG00000282825	ENSG00000282825.2			CTIF	
ENSG00000173276	ENSG00000173276.14	ENSMUSG00000046962	Zbtb21	ZBTB21	ortholog_one2one
ENSG00000197705	ENSG00000197705.10	ENSMUSG00000042514	Klhl14	KLHL14	ortholog_one2one
ENSG00000230390	ENSG00000230390.1			LINC01048	
ENSG00000224347	ENSG00000224347.6			SCEL-AS1	
ENSG00000237232	ENSG00000237232.9			ZNF295-AS1	
ENSG00000102543	ENSG00000102543.14	ENSMUSG00000021982	Cdadc1	CDADC1	ortholog_one2one
ENSG00000280477	ENSG00000280477.2			RASA3	
ENSG00000230978	ENSG00000230978.2			LINC00160	
ENSG00000159228	ENSG00000159228.13	ENSMUSG00000082815	Gm5678	CBR1	ortholog_one2many
ENSG00000159228	ENSG00000159228.13	ENSMUSG00000051483	Cbr1	CBR1	ortholog_one2many
ENSG00000233528	ENSG00000233528.4			LINC00430	
ENSG00000083520	ENSG00000083520.15	ENSMUSG00000033166	Dis3	DIS3	ortholog_one2one
ENSG00000229876	ENSG00000229876.1			CASC20	
ENSG00000159231	ENSG00000159231.6	ENSMUSG00000022947	Cbr3	CBR3	ortholog_one2one
ENSG00000260372	ENSG00000260372.7			AQP4-AS1	
ENSG00000171873	ENSG00000171873.8	ENSMUSG00000027335	Adra1d	ADRA1D	ortholog_one2one
ENSG00000101282	ENSG00000101282.9	ENSMUSG00000032852	Rspo4	RSPO4	ortholog_one2one
ENSG00000159216	ENSG00000159216.19	ENSMUSG00000022952	Runx1	RUNX1	ortholog_one2one
ENSG00000291534	ENSG00000291534.1			LTN1	
ENSG00000178127	ENSG00000178127.13	ENSMUSG00000024099	Ndufv2	NDUFV2	ortholog_one2one
ENSG00000291523	ENSG00000291523.1			RWDD2B	
ENSG00000089012	ENSG00000089012.14	ENSMUSG00000037902	Sirpa	SIRPG	ortholog_many2many
ENSG00000089012	ENSG00000089012.14	ENSMUSG00000095028	Sirpb1b	SIRPG	ortholog_many2many
ENSG00000089012	ENSG00000089012.14	ENSMUSG00000078783	Sirpd	SIRPG	ortholog_many2many
