,ensembl_gene_id,external_gene_name,hsapiens_homolog_ensembl_gene,hsapiens_homolog_associated_gene_name
52,ENSMUSG00000095666,,ENSG00000116721,PRAMEF1
53,ENSMUSG00000095666,,ENSG00000279169,PRAMEF13
54,ENSMUSG00000095666,,ENSG00000204505,PRAMEF9
55,ENSMUSG00000095666,,ENSG00000204480,PRAMEF19
56,ENSMUSG00000095666,,ENSG00000280267,PRAMEF26
57,ENSMUSG00000095666,,ENSG00000204481,PRAMEF14
58,ENSMUSG00000095666,,ENSG00000204510,PRAMEF7
59,ENSMUSG00000095666,,ENSG00000120952,PRAMEF2
60,ENSMUSG00000095666,,ENSG00000116726,PRAMEF12
61,ENSMUSG00000095666,,ENSG00000237700,PRAMEF33
62,ENSMUSG00000095666,,ENSG00000182330,PRAMEF8
63,ENSMUSG00000095666,,ENSG00000274764,PRAMEF27
64,ENSMUSG00000095666,,ENSG00000204479,PRAMEF17
65,ENSMUSG00000095666,,ENSG00000232423,PRAMEF6
66,ENSMUSG00000095666,,ENSG00000204478,PRAMEF20
67,ENSMUSG00000096680,,ENSG00000239810,PRAMEF11
68,ENSMUSG00000096680,,ENSG00000204501,PRAMEF15
69,ENSMUSG00000096680,,ENSG00000229571,PRAMEF25
70,ENSMUSG00000096680,,ENSG00000187545,PRAMEF10
71,ENSMUSG00000096680,,ENSG00000243073,PRAMEF4
72,ENSMUSG00000096680,,ENSG00000270601,PRAMEF5
73,ENSMUSG00000096680,,ENSG00000279804,PRAMEF18
74,ENSMUSG00000096680,,ENSG00000116721,PRAMEF1
75,ENSMUSG00000096680,,ENSG00000279169,PRAMEF13
76,ENSMUSG00000096680,,ENSG00000204505,PRAMEF9
77,ENSMUSG00000096680,,ENSG00000204480,PRAMEF19
78,ENSMUSG00000096680,,ENSG00000280267,PRAMEF26
79,ENSMUSG00000096680,,ENSG00000204481,PRAMEF14
80,ENSMUSG00000096680,,ENSG00000204510,PRAMEF7
81,ENSMUSG00000096680,,ENSG00000120952,PRAMEF2
82,ENSMUSG00000096680,,ENSG00000116726,PRAMEF12
83,ENSMUSG00000096680,,ENSG00000237700,PRAMEF33
84,ENSMUSG00000096680,,ENSG00000182330,PRAMEF8
85,ENSMUSG00000096680,,ENSG00000274764,PRAMEF27
86,ENSMUSG00000096680,,ENSG00000204479,PRAMEF17
87,ENSMUSG00000096680,,ENSG00000232423,PRAMEF6
88,ENSMUSG00000096680,,ENSG00000204478,PRAMEF20
89,ENSMUSG00000095505,,ENSG00000239810,PRAMEF11
90,ENSMUSG00000095505,,ENSG00000204501,PRAMEF15
91,ENSMUSG00000095505,,ENSG00000229571,PRAMEF25
92,ENSMUSG00000095505,,ENSG00000187545,PRAMEF10
93,ENSMUSG00000095505,,ENSG00000243073,PRAMEF4
94,ENSMUSG00000095505,,ENSG00000270601,PRAMEF5
95,ENSMUSG00000095505,,ENSG00000279804,PRAMEF18
96,ENSMUSG00000095505,,ENSG00000116721,PRAMEF1
97,ENSMUSG00000095505,,ENSG00000279169,PRAMEF13
98,ENSMUSG00000095505,,ENSG00000204505,PRAMEF9
99,ENSMUSG00000095505,,ENSG00000204480,PRAMEF19
100,ENSMUSG00000095505,,ENSG00000280267,PRAMEF26
101,ENSMUSG00000095505,,ENSG00000204481,PRAMEF14
102,ENSMUSG00000095505,,ENSG00000204510,PRAMEF7
103,ENSMUSG00000095505,,ENSG00000120952,PRAMEF2
104,ENSMUSG00000095505,,ENSG00000116726,PRAMEF12
105,ENSMUSG00000095505,,ENSG00000237700,PRAMEF33
106,ENSMUSG00000095505,,ENSG00000182330,PRAMEF8
107,ENSMUSG00000095505,,ENSG00000274764,PRAMEF27
108,ENSMUSG00000095505,,ENSG00000204479,PRAMEF17
109,ENSMUSG00000095505,,ENSG00000232423,PRAMEF6
110,ENSMUSG00000095505,,ENSG00000204478,PRAMEF20
111,ENSMUSG00000094722,,ENSG00000239810,PRAMEF11
112,ENSMUSG00000094722,,ENSG00000204501,PRAMEF15
113,ENSMUSG00000094722,,ENSG00000229571,PRAMEF25
114,ENSMUSG00000094722,,ENSG00000187545,PRAMEF10
115,ENSMUSG00000094722,,ENSG00000243073,PRAMEF4
116,ENSMUSG00000094722,,ENSG00000270601,PRAMEF5
117,ENSMUSG00000094722,,ENSG00000279804,PRAMEF18
118,ENSMUSG00000094722,,ENSG00000116721,PRAMEF1
119,ENSMUSG00000094722,,ENSG00000279169,PRAMEF13
120,ENSMUSG00000094722,,ENSG00000204505,PRAMEF9
121,ENSMUSG00000094722,,ENSG00000204480,PRAMEF19
122,ENSMUSG00000094722,,ENSG00000280267,PRAMEF26
123,ENSMUSG00000094722,,ENSG00000204481,PRAMEF14
124,ENSMUSG00000094722,,ENSG00000204510,PRAMEF7
125,ENSMUSG00000094722,,ENSG00000120952,PRAMEF2
126,ENSMUSG00000094722,,ENSG00000116726,PRAMEF12
127,ENSMUSG00000094722,,ENSG00000237700,PRAMEF33
128,ENSMUSG00000094722,,ENSG00000182330,PRAMEF8
129,ENSMUSG00000094722,,ENSG00000274764,PRAMEF27
130,ENSMUSG00000094722,,ENSG00000204479,PRAMEF17
131,ENSMUSG00000094722,,ENSG00000232423,PRAMEF6
132,ENSMUSG00000094722,,ENSG00000204478,PRAMEF20
133,ENSMUSG00000095250,,ENSG00000135899,SP110
134,ENSMUSG00000095728,,ENSG00000239810,PRAMEF11
135,ENSMUSG00000095728,,ENSG00000204501,PRAMEF15
136,ENSMUSG00000095728,,ENSG00000229571,PRAMEF25
137,ENSMUSG00000095728,,ENSG00000187545,PRAMEF10
138,ENSMUSG00000095728,,ENSG00000243073,PRAMEF4
139,ENSMUSG00000095728,,ENSG00000270601,PRAMEF5
140,ENSMUSG00000095728,,ENSG00000279804,PRAMEF18
141,ENSMUSG00000095728,,ENSG00000116721,PRAMEF1
142,ENSMUSG00000095728,,ENSG00000279169,PRAMEF13
143,ENSMUSG00000095728,,ENSG00000204505,PRAMEF9
144,ENSMUSG00000095728,,ENSG00000204480,PRAMEF19
145,ENSMUSG00000095728,,ENSG00000280267,PRAMEF26
146,ENSMUSG00000095728,,ENSG00000204481,PRAMEF14
147,ENSMUSG00000095728,,ENSG00000204510,PRAMEF7
148,ENSMUSG00000095728,,ENSG00000120952,PRAMEF2
149,ENSMUSG00000095728,,ENSG00000116726,PRAMEF12
150,ENSMUSG00000095728,,ENSG00000237700,PRAMEF33
151,ENSMUSG00000095728,,ENSG00000182330,PRAMEF8
152,ENSMUSG00000095728,,ENSG00000274764,PRAMEF27
153,ENSMUSG00000095728,,ENSG00000204479,PRAMEF17
154,ENSMUSG00000095728,,ENSG00000232423,PRAMEF6
155,ENSMUSG00000095728,,ENSG00000204478,PRAMEF20
156,ENSMUSG00000095787,,,
157,ENSMUSG00000096100,,,
158,ENSMUSG00000095076,,ENSG00000239810,PRAMEF11
159,ENSMUSG00000095076,,ENSG00000204501,PRAMEF15
160,ENSMUSG00000095076,,ENSG00000229571,PRAMEF25
161,ENSMUSG00000095076,,ENSG00000187545,PRAMEF10
162,ENSMUSG00000095076,,ENSG00000243073,PRAMEF4
163,ENSMUSG00000095076,,ENSG00000270601,PRAMEF5
164,ENSMUSG00000095076,,ENSG00000279804,PRAMEF18
165,ENSMUSG00000095076,,ENSG00000116721,PRAMEF1
166,ENSMUSG00000095076,,ENSG00000279169,PRAMEF13
167,ENSMUSG00000095076,,ENSG00000204505,PRAMEF9
168,ENSMUSG00000095076,,ENSG00000204480,PRAMEF19
169,ENSMUSG00000095076,,ENSG00000280267,PRAMEF26
170,ENSMUSG00000095076,,ENSG00000204481,PRAMEF14
171,ENSMUSG00000095076,,ENSG00000204510,PRAMEF7
172,ENSMUSG00000095076,,ENSG00000120952,PRAMEF2
173,ENSMUSG00000095076,,ENSG00000116726,PRAMEF12
174,ENSMUSG00000095076,,ENSG00000237700,PRAMEF33
175,ENSMUSG00000095076,,ENSG00000182330,PRAMEF8
176,ENSMUSG00000095076,,ENSG00000274764,PRAMEF27
177,ENSMUSG00000095076,,ENSG00000204479,PRAMEF17
178,ENSMUSG00000095076,,ENSG00000232423,PRAMEF6
179,ENSMUSG00000095076,,ENSG00000204478,PRAMEF20
180,ENSMUSG00000094054,,,
181,ENSMUSG00000095672,,ENSG00000135899,SP110
182,ENSMUSG00000079190,,,
183,ENSMUSG00000094514,,ENSG00000067066,SP100
184,ENSMUSG00000094741,,ENSG00000239810,PRAMEF11
185,ENSMUSG00000094741,,ENSG00000204501,PRAMEF15
186,ENSMUSG00000094741,,ENSG00000229571,PRAMEF25
187,ENSMUSG00000094741,,ENSG00000187545,PRAMEF10
188,ENSMUSG00000094741,,ENSG00000243073,PRAMEF4
189,ENSMUSG00000094741,,ENSG00000270601,PRAMEF5
190,ENSMUSG00000094741,,ENSG00000279804,PRAMEF18
191,ENSMUSG00000094741,,ENSG00000116721,PRAMEF1
192,ENSMUSG00000094741,,ENSG00000279169,PRAMEF13
193,ENSMUSG00000094741,,ENSG00000204505,PRAMEF9
194,ENSMUSG00000094741,,ENSG00000204480,PRAMEF19
195,ENSMUSG00000094741,,ENSG00000280267,PRAMEF26
196,ENSMUSG00000094741,,ENSG00000204481,PRAMEF14
197,ENSMUSG00000094741,,ENSG00000204510,PRAMEF7
198,ENSMUSG00000094741,,ENSG00000120952,PRAMEF2
199,ENSMUSG00000094741,,ENSG00000116726,PRAMEF12
200,ENSMUSG00000094741,,ENSG00000237700,PRAMEF33
201,ENSMUSG00000094741,,ENSG00000182330,PRAMEF8
202,ENSMUSG00000094741,,ENSG00000274764,PRAMEF27
203,ENSMUSG00000094741,,ENSG00000204479,PRAMEF17
204,ENSMUSG00000094741,,ENSG00000232423,PRAMEF6
205,ENSMUSG00000094741,,ENSG00000204478,PRAMEF20
206,ENSMUSG00000074720,,ENSG00000239810,PRAMEF11
207,ENSMUSG00000074720,,ENSG00000204501,PRAMEF15
208,ENSMUSG00000074720,,ENSG00000229571,PRAMEF25
209,ENSMUSG00000074720,,ENSG00000187545,PRAMEF10
210,ENSMUSG00000074720,,ENSG00000243073,PRAMEF4
211,ENSMUSG00000074720,,ENSG00000270601,PRAMEF5
212,ENSMUSG00000074720,,ENSG00000279804,PRAMEF18
213,ENSMUSG00000074720,,ENSG00000116721,PRAMEF1
214,ENSMUSG00000074720,,ENSG00000279169,PRAMEF13
215,ENSMUSG00000074720,,ENSG00000204505,PRAMEF9
216,ENSMUSG00000074720,,ENSG00000204480,PRAMEF19
217,ENSMUSG00000074720,,ENSG00000280267,PRAMEF26
218,ENSMUSG00000074720,,ENSG00000204481,PRAMEF14
219,ENSMUSG00000074720,,ENSG00000204510,PRAMEF7
220,ENSMUSG00000074720,,ENSG00000120952,PRAMEF2
221,ENSMUSG00000074720,,ENSG00000116726,PRAMEF12
222,ENSMUSG00000074720,,ENSG00000237700,PRAMEF33
223,ENSMUSG00000074720,,ENSG00000182330,PRAMEF8
224,ENSMUSG00000074720,,ENSG00000274764,PRAMEF27
225,ENSMUSG00000074720,,ENSG00000204479,PRAMEF17
226,ENSMUSG00000074720,,ENSG00000232423,PRAMEF6
227,ENSMUSG00000074720,,ENSG00000204478,PRAMEF20
228,ENSMUSG00000096776,Vmn1r186,,
229,ENSMUSG00000096244,,,
230,ENSMUSG00000094337,,ENSG00000239810,PRAMEF11
231,ENSMUSG00000094337,,ENSG00000204501,PRAMEF15
232,ENSMUSG00000094337,,ENSG00000229571,PRAMEF25
233,ENSMUSG00000094337,,ENSG00000187545,PRAMEF10
234,ENSMUSG00000094337,,ENSG00000243073,PRAMEF4
235,ENSMUSG00000094337,,ENSG00000270601,PRAMEF5
236,ENSMUSG00000094337,,ENSG00000279804,PRAMEF18
237,ENSMUSG00000094337,,ENSG00000116721,PRAMEF1
238,ENSMUSG00000094337,,ENSG00000279169,PRAMEF13
239,ENSMUSG00000094337,,ENSG00000204505,PRAMEF9
240,ENSMUSG00000094337,,ENSG00000204480,PRAMEF19
241,ENSMUSG00000094337,,ENSG00000280267,PRAMEF26
242,ENSMUSG00000094337,,ENSG00000204481,PRAMEF14
243,ENSMUSG00000094337,,ENSG00000204510,PRAMEF7
244,ENSMUSG00000094337,,ENSG00000120952,PRAMEF2
245,ENSMUSG00000094337,,ENSG00000116726,PRAMEF12
246,ENSMUSG00000094337,,ENSG00000237700,PRAMEF33
247,ENSMUSG00000094337,,ENSG00000182330,PRAMEF8
248,ENSMUSG00000094337,,ENSG00000274764,PRAMEF27
249,ENSMUSG00000094337,,ENSG00000204479,PRAMEF17
250,ENSMUSG00000094337,,ENSG00000232423,PRAMEF6
251,ENSMUSG00000094337,,ENSG00000204478,PRAMEF20
252,ENSMUSG00000095570,,ENSG00000239810,PRAMEF11
253,ENSMUSG00000095570,,ENSG00000204501,PRAMEF15
254,ENSMUSG00000095570,,ENSG00000229571,PRAMEF25
255,ENSMUSG00000095570,,ENSG00000187545,PRAMEF10
256,ENSMUSG00000095570,,ENSG00000243073,PRAMEF4
257,ENSMUSG00000095570,,ENSG00000270601,PRAMEF5
258,ENSMUSG00000095570,,ENSG00000279804,PRAMEF18
259,ENSMUSG00000095570,,ENSG00000116721,PRAMEF1
260,ENSMUSG00000095570,,ENSG00000279169,PRAMEF13
261,ENSMUSG00000095570,,ENSG00000204505,PRAMEF9
262,ENSMUSG00000095570,,ENSG00000204480,PRAMEF19
263,ENSMUSG00000095570,,ENSG00000280267,PRAMEF26
264,ENSMUSG00000095570,,ENSG00000204481,PRAMEF14
265,ENSMUSG00000095570,,ENSG00000204510,PRAMEF7
266,ENSMUSG00000095570,,ENSG00000120952,PRAMEF2
267,ENSMUSG00000095570,,ENSG00000116726,PRAMEF12
268,ENSMUSG00000095570,,ENSG00000237700,PRAMEF33
269,ENSMUSG00000095570,,ENSG00000182330,PRAMEF8
270,ENSMUSG00000095570,,ENSG00000274764,PRAMEF27
271,ENSMUSG00000095570,,ENSG00000204479,PRAMEF17
272,ENSMUSG00000095570,,ENSG00000232423,PRAMEF6
273,ENSMUSG00000095570,,ENSG00000204478,PRAMEF20
274,ENSMUSG00000096728,,ENSG00000239810,PRAMEF11
275,ENSMUSG00000096728,,ENSG00000204501,PRAMEF15
276,ENSMUSG00000096728,,ENSG00000229571,PRAMEF25
277,ENSMUSG00000096728,,ENSG00000187545,PRAMEF10
278,ENSMUSG00000096728,,ENSG00000243073,PRAMEF4
279,ENSMUSG00000096728,,ENSG00000270601,PRAMEF5
280,ENSMUSG00000096728,,ENSG00000279804,PRAMEF18
281,ENSMUSG00000096728,,ENSG00000116721,PRAMEF1
282,ENSMUSG00000096728,,ENSG00000279169,PRAMEF13
283,ENSMUSG00000096728,,ENSG00000204505,PRAMEF9
284,ENSMUSG00000096728,,ENSG00000204480,PRAMEF19
285,ENSMUSG00000096728,,ENSG00000280267,PRAMEF26
286,ENSMUSG00000096728,,ENSG00000204481,PRAMEF14
287,ENSMUSG00000096728,,ENSG00000204510,PRAMEF7
288,ENSMUSG00000096728,,ENSG00000120952,PRAMEF2
289,ENSMUSG00000096728,,ENSG00000116726,PRAMEF12
290,ENSMUSG00000096728,,ENSG00000237700,PRAMEF33
291,ENSMUSG00000096728,,ENSG00000182330,PRAMEF8
292,ENSMUSG00000096728,,ENSG00000274764,PRAMEF27
293,ENSMUSG00000096728,,ENSG00000204479,PRAMEF17
294,ENSMUSG00000096728,,ENSG00000232423,PRAMEF6
295,ENSMUSG00000096728,,ENSG00000204478,PRAMEF20
296,ENSMUSG00000094836,,ENSG00000239810,PRAMEF11
297,ENSMUSG00000094836,,ENSG00000204501,PRAMEF15
298,ENSMUSG00000094836,,ENSG00000229571,PRAMEF25
299,ENSMUSG00000094836,,ENSG00000187545,PRAMEF10
300,ENSMUSG00000094836,,ENSG00000243073,PRAMEF4
301,ENSMUSG00000094836,,ENSG00000270601,PRAMEF5
302,ENSMUSG00000094836,,ENSG00000279804,PRAMEF18
303,ENSMUSG00000094836,,ENSG00000116721,PRAMEF1
304,ENSMUSG00000094836,,ENSG00000279169,PRAMEF13
305,ENSMUSG00000094836,,ENSG00000204505,PRAMEF9
306,ENSMUSG00000094836,,ENSG00000204480,PRAMEF19
307,ENSMUSG00000094836,,ENSG00000280267,PRAMEF26
308,ENSMUSG00000094836,,ENSG00000204481,PRAMEF14
309,ENSMUSG00000094836,,ENSG00000204510,PRAMEF7
310,ENSMUSG00000094836,,ENSG00000120952,PRAMEF2
311,ENSMUSG00000094836,,ENSG00000116726,PRAMEF12
312,ENSMUSG00000094836,,ENSG00000237700,PRAMEF33
313,ENSMUSG00000094836,,ENSG00000182330,PRAMEF8
314,ENSMUSG00000094836,,ENSG00000274764,PRAMEF27
315,ENSMUSG00000094836,,ENSG00000204479,PRAMEF17
316,ENSMUSG00000094836,,ENSG00000232423,PRAMEF6
317,ENSMUSG00000094836,,ENSG00000204478,PRAMEF20
318,ENSMUSG00000094383,,ENSG00000239810,PRAMEF11
319,ENSMUSG00000094383,,ENSG00000204501,PRAMEF15
320,ENSMUSG00000094383,,ENSG00000229571,PRAMEF25
321,ENSMUSG00000094383,,ENSG00000187545,PRAMEF10
322,ENSMUSG00000094383,,ENSG00000243073,PRAMEF4
323,ENSMUSG00000094383,,ENSG00000270601,PRAMEF5
324,ENSMUSG00000094383,,ENSG00000279804,PRAMEF18
325,ENSMUSG00000094383,,ENSG00000116721,PRAMEF1
326,ENSMUSG00000094383,,ENSG00000279169,PRAMEF13
327,ENSMUSG00000094383,,ENSG00000204505,PRAMEF9
328,ENSMUSG00000094383,,ENSG00000204480,PRAMEF19
329,ENSMUSG00000094383,,ENSG00000280267,PRAMEF26
330,ENSMUSG00000094383,,ENSG00000204481,PRAMEF14
331,ENSMUSG00000094383,,ENSG00000204510,PRAMEF7
332,ENSMUSG00000094383,,ENSG00000120952,PRAMEF2
333,ENSMUSG00000094383,,ENSG00000116726,PRAMEF12
334,ENSMUSG00000094383,,ENSG00000237700,PRAMEF33
335,ENSMUSG00000094383,,ENSG00000182330,PRAMEF8
336,ENSMUSG00000094383,,ENSG00000274764,PRAMEF27
337,ENSMUSG00000094383,,ENSG00000204479,PRAMEF17
338,ENSMUSG00000094383,,ENSG00000232423,PRAMEF6
339,ENSMUSG00000094383,,ENSG00000204478,PRAMEF20
340,ENSMUSG00000095019,,,
341,ENSMUSG00000094474,,ENSG00000239810,PRAMEF11
342,ENSMUSG00000094474,,ENSG00000204501,PRAMEF15
343,ENSMUSG00000094474,,ENSG00000229571,PRAMEF25
344,ENSMUSG00000094474,,ENSG00000187545,PRAMEF10
345,ENSMUSG00000094474,,ENSG00000243073,PRAMEF4
346,ENSMUSG00000094474,,ENSG00000270601,PRAMEF5
347,ENSMUSG00000094474,,ENSG00000279804,PRAMEF18
348,ENSMUSG00000094474,,ENSG00000116721,PRAMEF1
349,ENSMUSG00000094474,,ENSG00000279169,PRAMEF13
350,ENSMUSG00000094474,,ENSG00000204505,PRAMEF9
351,ENSMUSG00000094474,,ENSG00000204480,PRAMEF19
352,ENSMUSG00000094474,,ENSG00000280267,PRAMEF26
353,ENSMUSG00000094474,,ENSG00000204481,PRAMEF14
354,ENSMUSG00000094474,,ENSG00000204510,PRAMEF7
355,ENSMUSG00000094474,,ENSG00000120952,PRAMEF2
356,ENSMUSG00000094474,,ENSG00000116726,PRAMEF12
357,ENSMUSG00000094474,,ENSG00000237700,PRAMEF33
358,ENSMUSG00000094474,,ENSG00000182330,PRAMEF8
359,ENSMUSG00000094474,,ENSG00000274764,PRAMEF27
360,ENSMUSG00000094474,,ENSG00000204479,PRAMEF17
361,ENSMUSG00000094474,,ENSG00000232423,PRAMEF6
362,ENSMUSG00000094474,,ENSG00000204478,PRAMEF20
363,ENSMUSG00000094791,,ENSG00000239810,PRAMEF11
364,ENSMUSG00000094791,,ENSG00000204501,PRAMEF15
365,ENSMUSG00000094791,,ENSG00000229571,PRAMEF25
366,ENSMUSG00000094791,,ENSG00000187545,PRAMEF10
367,ENSMUSG00000094791,,ENSG00000243073,PRAMEF4
368,ENSMUSG00000094791,,ENSG00000270601,PRAMEF5
369,ENSMUSG00000094791,,ENSG00000279804,PRAMEF18
370,ENSMUSG00000094791,,ENSG00000116721,PRAMEF1
371,ENSMUSG00000094791,,ENSG00000279169,PRAMEF13
372,ENSMUSG00000094791,,ENSG00000204505,PRAMEF9
373,ENSMUSG00000094791,,ENSG00000204480,PRAMEF19
374,ENSMUSG00000094791,,ENSG00000280267,PRAMEF26
375,ENSMUSG00000094791,,ENSG00000204481,PRAMEF14
376,ENSMUSG00000094791,,ENSG00000204510,PRAMEF7
377,ENSMUSG00000094791,,ENSG00000120952,PRAMEF2
378,ENSMUSG00000094791,,ENSG00000116726,PRAMEF12
379,ENSMUSG00000094791,,ENSG00000237700,PRAMEF33
380,ENSMUSG00000094791,,ENSG00000182330,PRAMEF8
381,ENSMUSG00000094791,,ENSG00000274764,PRAMEF27
382,ENSMUSG00000094791,,ENSG00000204479,PRAMEF17
383,ENSMUSG00000094791,,ENSG00000232423,PRAMEF6
384,ENSMUSG00000094791,,ENSG00000204478,PRAMEF20
385,ENSMUSG00000096550,Gm16367,ENSG00000239810,PRAMEF11
386,ENSMUSG00000096550,Gm16367,ENSG00000204501,PRAMEF15
387,ENSMUSG00000096550,Gm16367,ENSG00000229571,PRAMEF25
388,ENSMUSG00000096550,Gm16367,ENSG00000187545,PRAMEF10
389,ENSMUSG00000096550,Gm16367,ENSG00000243073,PRAMEF4
390,ENSMUSG00000096550,Gm16367,ENSG00000270601,PRAMEF5
391,ENSMUSG00000096550,Gm16367,ENSG00000279804,PRAMEF18
392,ENSMUSG00000096550,Gm16367,ENSG00000116721,PRAMEF1
393,ENSMUSG00000096550,Gm16367,ENSG00000279169,PRAMEF13
394,ENSMUSG00000096550,Gm16367,ENSG00000204505,PRAMEF9
395,ENSMUSG00000096550,Gm16367,ENSG00000204480,PRAMEF19
396,ENSMUSG00000096550,Gm16367,ENSG00000280267,PRAMEF26
397,ENSMUSG00000096550,Gm16367,ENSG00000204481,PRAMEF14
398,ENSMUSG00000096550,Gm16367,ENSG00000204510,PRAMEF7
399,ENSMUSG00000096550,Gm16367,ENSG00000120952,PRAMEF2
400,ENSMUSG00000096550,Gm16367,ENSG00000116726,PRAMEF12
401,ENSMUSG00000096550,Gm16367,ENSG00000237700,PRAMEF33
402,ENSMUSG00000096550,Gm16367,ENSG00000182330,PRAMEF8
403,ENSMUSG00000096550,Gm16367,ENSG00000274764,PRAMEF27
404,ENSMUSG00000096550,Gm16367,ENSG00000204479,PRAMEF17
405,ENSMUSG00000096550,Gm16367,ENSG00000232423,PRAMEF6
406,ENSMUSG00000096550,Gm16367,ENSG00000204478,PRAMEF20
407,ENSMUSG00000094172,,ENSG00000239810,PRAMEF11
408,ENSMUSG00000094172,,ENSG00000204501,PRAMEF15
409,ENSMUSG00000094172,,ENSG00000229571,PRAMEF25
410,ENSMUSG00000094172,,ENSG00000187545,PRAMEF10
411,ENSMUSG00000094172,,ENSG00000243073,PRAMEF4
412,ENSMUSG00000094172,,ENSG00000270601,PRAMEF5
413,ENSMUSG00000094172,,ENSG00000279804,PRAMEF18
414,ENSMUSG00000094172,,ENSG00000116721,PRAMEF1
415,ENSMUSG00000094172,,ENSG00000279169,PRAMEF13
416,ENSMUSG00000094172,,ENSG00000204505,PRAMEF9
417,ENSMUSG00000094172,,ENSG00000204480,PRAMEF19
418,ENSMUSG00000094172,,ENSG00000280267,PRAMEF26
419,ENSMUSG00000094172,,ENSG00000204481,PRAMEF14
420,ENSMUSG00000094172,,ENSG00000204510,PRAMEF7
421,ENSMUSG00000094172,,ENSG00000120952,PRAMEF2
422,ENSMUSG00000094172,,ENSG00000116726,PRAMEF12
423,ENSMUSG00000094172,,ENSG00000237700,PRAMEF33
424,ENSMUSG00000094172,,ENSG00000182330,PRAMEF8
425,ENSMUSG00000094172,,ENSG00000274764,PRAMEF27
426,ENSMUSG00000094172,,ENSG00000204479,PRAMEF17
427,ENSMUSG00000094172,,ENSG00000232423,PRAMEF6
428,ENSMUSG00000094172,,ENSG00000204478,PRAMEF20
429,ENSMUSG00000094303,,ENSG00000239810,PRAMEF11
430,ENSMUSG00000094303,,ENSG00000204501,PRAMEF15
431,ENSMUSG00000094303,,ENSG00000229571,PRAMEF25
432,ENSMUSG00000094303,,ENSG00000187545,PRAMEF10
433,ENSMUSG00000094303,,ENSG00000243073,PRAMEF4
434,ENSMUSG00000094303,,ENSG00000270601,PRAMEF5
435,ENSMUSG00000094303,,ENSG00000279804,PRAMEF18
436,ENSMUSG00000094303,,ENSG00000116721,PRAMEF1
437,ENSMUSG00000094303,,ENSG00000279169,PRAMEF13
438,ENSMUSG00000094303,,ENSG00000204505,PRAMEF9
439,ENSMUSG00000094303,,ENSG00000204480,PRAMEF19
440,ENSMUSG00000094303,,ENSG00000280267,PRAMEF26
