Gene stable ID	Human gene stable ID	Human homology type
ENSMUSG00000002668	ENSG00000205744	ortholog_one2one
ENSMUSG00000002688	ENSG00000184304	ortholog_one2one
ENSMUSG00000002699	ENSG00000043462	ortholog_one2one
ENSMUSG00000002732	ENSG00000079150	ortholog_one2one
ENSMUSG00000002769	ENSG00000124713	ortholog_one2one
ENSMUSG00000002831	ENSG00000167676	ortholog_one2one
ENSMUSG00000002847	ENSG00000144837	ortholog_one2one
ENSMUSG00000002881	ENSG00000138386	ortholog_one2one
ENSMUSG00000002900	ENSG00000091136	ortholog_one2one
ENSMUSG00000002930	ENSG00000106341	ortholog_one2one
ENSMUSG00000002944	ENSG00000135218	ortholog_one2one
ENSMUSG00000002980	ENSG00000187244	ortholog_one2one
ENSMUSG00000002983	ENSG00000104856	ortholog_one2one
ENSMUSG00000002985	ENSG00000130203	ortholog_one2one
ENSMUSG00000003032	ENSG00000136826	ortholog_one2one
ENSMUSG00000003051	ENSG00000163435	ortholog_one2one
ENSMUSG00000003228	ENSG00000198873	ortholog_one2one
ENSMUSG00000003283	ENSG00000101336	ortholog_one2one
ENSMUSG00000003379	ENSG00000105369	ortholog_one2one
ENSMUSG00000003382	ENSG00000117036	ortholog_one2one
ENSMUSG00000003418	ENSG00000148488	ortholog_one2one
ENSMUSG00000003420	ENSG00000104870	ortholog_one2one
ENSMUSG00000003477	ENSG00000241644	ortholog_one2one
ENSMUSG00000003484	ENSG00000186529	ortholog_one2one
ENSMUSG00000003545	ENSG00000125740	ortholog_one2one
ENSMUSG00000003573	ENSG00000051128	ortholog_one2one
ENSMUSG00000003617	ENSG00000047457	ortholog_one2one
ENSMUSG00000003665	ENSG00000105509	ortholog_one2one
ENSMUSG00000003746	ENSG00000111885	ortholog_one2one
ENSMUSG00000003849	ENSG00000181019	ortholog_one2one
ENSMUSG00000003882	ENSG00000168685	ortholog_one2one
ENSMUSG00000003955	ENSG00000114023	ortholog_one2one
ENSMUSG00000003992	ENSG00000145687	ortholog_one2one
ENSMUSG00000004043	ENSG00000126561	ortholog_one2one
ENSMUSG00000004098	ENSG00000080573	ortholog_one2one
ENSMUSG00000004105	ENSG00000136859	ortholog_one2one
ENSMUSG00000004110	ENSG00000198216	ortholog_one2one
ENSMUSG00000004151	ENSG00000006468	ortholog_one2one
ENSMUSG00000004207	ENSG00000197746	ortholog_one2one
ENSMUSG00000004266	ENSG00000111679	ortholog_one2one
ENSMUSG00000004359	ENSG00000166211	ortholog_one2one
ENSMUSG00000004366	ENSG00000157005	ortholog_one2one
ENSMUSG00000004371	ENSG00000095752	ortholog_one2one
ENSMUSG00000004451	ENSG00000144118	ortholog_one2one
ENSMUSG00000004552	ENSG00000196188	ortholog_one2one
ENSMUSG00000004558	ENSG00000165795	ortholog_one2one
ENSMUSG00000004612	ENSG00000105374	ortholog_one2one
ENSMUSG00000004633	ENSG00000106069	ortholog_one2one
ENSMUSG00000004637	ENSG00000186153	ortholog_one2one
ENSMUSG00000004651	ENSG00000077498	ortholog_one2one
ENSMUSG00000004655	ENSG00000240583	ortholog_one2one
ENSMUSG00000004665	ENSG00000064666	ortholog_one2one
ENSMUSG00000004698	ENSG00000048052	ortholog_one2one
ENSMUSG00000004707	ENSG00000122224	ortholog_one2one
ENSMUSG00000004709	ENSG00000122223	ortholog_one2one
ENSMUSG00000004791	ENSG00000119630	ortholog_one2one
ENSMUSG00000004814	ENSG00000106178	ortholog_one2one
ENSMUSG00000004891	ENSG00000132688	ortholog_one2one
ENSMUSG00000004933	ENSG00000007264	ortholog_one2one
ENSMUSG00000004939	ENSG00000077009	ortholog_one2one
ENSMUSG00000004951	ENSG00000106211	ortholog_one2one
ENSMUSG00000005054	ENSG00000160213	ortholog_one2one
ENSMUSG00000005057	ENSG00000160999	ortholog_one2one
ENSMUSG00000005087	ENSG00000026508	ortholog_one2one
ENSMUSG00000005089	ENSG00000110436	ortholog_one2one
ENSMUSG00000005125	ENSG00000104419	ortholog_one2one
ENSMUSG00000005142	ENSG00000104774	ortholog_one2one
ENSMUSG00000005220	ENSG00000145244	ortholog_one2one
ENSMUSG00000005268	ENSG00000113494	ortholog_one2one
ENSMUSG00000005338	ENSG00000162706	ortholog_one2one
ENSMUSG00000005360	ENSG00000079215	ortholog_one2one
ENSMUSG00000005397	ENSG00000116962	ortholog_one2one
ENSMUSG00000005413	ENSG00000100292	ortholog_one2one
ENSMUSG00000005474	ENSG00000106436	ortholog_one2one
ENSMUSG00000005483	ENSG00000132002	ortholog_one2one
ENSMUSG00000005533	ENSG00000140443	ortholog_one2one
ENSMUSG00000005534	ENSG00000171105	ortholog_one2one
ENSMUSG00000005540	ENSG00000104921	ortholog_one2one
ENSMUSG00000005583	ENSG00000081189	ortholog_one2one
ENSMUSG00000005672	ENSG00000157404	ortholog_one2one
ENSMUSG00000005716	ENSG00000100362	ortholog_one2one
ENSMUSG00000005763	ENSG00000198821	ortholog_one2one
ENSMUSG00000005800	ENSG00000118113	ortholog_one2one
ENSMUSG00000005824	ENSG00000125735	ortholog_one2one
ENSMUSG00000005892	ENSG00000170893	ortholog_one2one
ENSMUSG00000006014	ENSG00000116690	ortholog_one2one
ENSMUSG00000006191	ENSG00000145996	ortholog_one2one
ENSMUSG00000006205	ENSG00000166033	ortholog_one2one
ENSMUSG00000006221	ENSG00000173641	ortholog_one2one
ENSMUSG00000006310	ENSG00000011590	ortholog_one2one
ENSMUSG00000006344	ENSG00000099998	ortholog_one2one
ENSMUSG00000006356	ENSG00000182809	ortholog_one2one
ENSMUSG00000006360	ENSG00000213145	ortholog_one2one
ENSMUSG00000006362	ENSG00000129993	ortholog_one2one
ENSMUSG00000006369	ENSG00000077942	ortholog_one2one
ENSMUSG00000006386	ENSG00000120156	ortholog_one2one
ENSMUSG00000006398	ENSG00000117399	ortholog_one2one
ENSMUSG00000006403	ENSG00000158859	ortholog_one2one
ENSMUSG00000006445	ENSG00000142627	ortholog_one2one
ENSMUSG00000006519	ENSG00000051523	ortholog_one2one
ENSMUSG00000006522	ENSG00000162267	ortholog_one2one
ENSMUSG00000006529	ENSG00000055957	ortholog_one2one
ENSMUSG00000006546	ENSG00000163499	ortholog_one2one
ENSMUSG00000006574	ENSG00000004939	ortholog_one2one
ENSMUSG00000006585	ENSG00000167513	ortholog_one2one
ENSMUSG00000006611	ENSG00000010704	ortholog_one2one
ENSMUSG00000006651	ENSG00000105290	ortholog_one2one
ENSMUSG00000006731	ENSG00000135454	ortholog_one2one
ENSMUSG00000006782	ENSG00000173786	ortholog_one2one
ENSMUSG00000006800	ENSG00000196562	ortholog_one2one
ENSMUSG00000007097	ENSG00000018625	ortholog_one2one
ENSMUSG00000007379	ENSG00000175984	ortholog_one2one
ENSMUSG00000007476	ENSG00000136802	ortholog_one2one
ENSMUSG00000007617	ENSG00000152413	ortholog_one2one
ENSMUSG00000007655	ENSG00000105974	ortholog_one2one
ENSMUSG00000007682	ENSG00000211448	ortholog_one2one
ENSMUSG00000007888	ENSG00000006016	ortholog_one2one
ENSMUSG00000007891	ENSG00000117984	ortholog_one2one
ENSMUSG00000007908	ENSG00000146151	ortholog_one2one
ENSMUSG00000007946	ENSG00000165462	ortholog_one2one
ENSMUSG00000008136	ENSG00000115641	ortholog_one2one
ENSMUSG00000008193	ENSG00000269404	ortholog_one2one
ENSMUSG00000008384	ENSG00000197019	ortholog_one2one
ENSMUSG00000008398	ENSG00000111145	ortholog_one2one
ENSMUSG00000008496	ENSG00000028277	ortholog_one2one
ENSMUSG00000008540	ENSG00000008394	ortholog_one2one
ENSMUSG00000008575	ENSG00000147862	ortholog_one2one
ENSMUSG00000008734	ENSG00000167191	ortholog_one2one
ENSMUSG00000008843	ENSG00000189143	ortholog_one2one
ENSMUSG00000008845	ENSG00000177575	ortholog_one2one
ENSMUSG00000008999	ENSG00000101144	ortholog_one2one
ENSMUSG00000009145	ENSG00000144045	ortholog_one2one
ENSMUSG00000009246	ENSG00000070985	ortholog_one2one
ENSMUSG00000009281	ENSG00000106538	ortholog_one2one
ENSMUSG00000009350	ENSG00000005381	ortholog_one2one
ENSMUSG00000009585	ENSG00000100298	ortholog_one2one
ENSMUSG00000009628	ENSG00000133863	ortholog_one2one
ENSMUSG00000009633	ENSG00000123689	ortholog_one2one
ENSMUSG00000009681	ENSG00000186716	ortholog_one2one
ENSMUSG00000009734	ENSG00000106536	ortholog_one2one
ENSMUSG00000009772	ENSG00000163545	ortholog_one2one
ENSMUSG00000009876	ENSG00000131055	ortholog_one2one
ENSMUSG00000010047	ENSG00000068001	ortholog_one2one
ENSMUSG00000010067	ENSG00000068028	ortholog_one2one
ENSMUSG00000010095	ENSG00000168003	ortholog_one2one
ENSMUSG00000010142	ENSG00000240505	ortholog_one2one
ENSMUSG00000010342	ENSG00000121101	ortholog_one2one
ENSMUSG00000010358	ENSG00000068079	ortholog_one2one
ENSMUSG00000010461	ENSG00000112319	ortholog_one2one
ENSMUSG00000010476	ENSG00000108001	ortholog_one2one
ENSMUSG00000010797	ENSG00000105989	ortholog_one2one
ENSMUSG00000011008	ENSG00000153898	ortholog_one2one
ENSMUSG00000011179	ENSG00000115758	ortholog_one2one
ENSMUSG00000011263	ENSG00000283632	ortholog_one2one
ENSMUSG00000011305	ENSG00000214456	ortholog_one2one
ENSMUSG00000011463	ENSG00000153002	ortholog_one2one
ENSMUSG00000011958	ENSG00000140299	ortholog_one2one
ENSMUSG00000012428	ENSG00000127954	ortholog_one2one
ENSMUSG00000012519	ENSG00000168404	ortholog_one2one
ENSMUSG00000012520	ENSG00000109132	ortholog_one2one
ENSMUSG00000012705	ENSG00000104918	ortholog_one2one
ENSMUSG00000013523	ENSG00000064787	ortholog_one2one
ENSMUSG00000013584	ENSG00000128918	ortholog_one2one
ENSMUSG00000013936	ENSG00000111245	ortholog_one2one
ENSMUSG00000014030	ENSG00000196092	ortholog_one2one
ENSMUSG00000014329	ENSG00000122870	ortholog_one2one
ENSMUSG00000014351	ENSG00000159224	ortholog_one2one
ENSMUSG00000014361	ENSG00000153208	ortholog_one2one
ENSMUSG00000014444	ENSG00000103335	ortholog_one2one
ENSMUSG00000014547	ENSG00000139668	ortholog_one2one
ENSMUSG00000014599	ENSG00000184371	ortholog_one2one
ENSMUSG00000014609	ENSG00000108556	ortholog_one2one
ENSMUSG00000014704	ENSG00000105996	ortholog_one2one
ENSMUSG00000014725	ENSG00000042980	ortholog_one2one
ENSMUSG00000014778	ENSG00000135723	ortholog_one2one
ENSMUSG00000014813	ENSG00000159167	ortholog_one2one
ENSMUSG00000014846	ENSG00000159713	ortholog_one2one
ENSMUSG00000014932	ENSG00000176105	ortholog_one2one
ENSMUSG00000015053	ENSG00000179348	ortholog_one2one
ENSMUSG00000015085	ENSG00000054179	ortholog_one2one
ENSMUSG00000015090	ENSG00000107317	ortholog_one2one
ENSMUSG00000015133	ENSG00000154237	ortholog_one2one
ENSMUSG00000015134	ENSG00000184254	ortholog_one2one
ENSMUSG00000015243	ENSG00000165029	ortholog_one2one
ENSMUSG00000015305	ENSG00000111961	ortholog_one2one
ENSMUSG00000015312	ENSG00000099860	ortholog_one2one
ENSMUSG00000015314	ENSG00000162739	ortholog_one2one
ENSMUSG00000015316	ENSG00000117090	ortholog_one2one
ENSMUSG00000015354	ENSG00000163710	ortholog_one2one
ENSMUSG00000015355	ENSG00000117091	ortholog_one2one
ENSMUSG00000015396	ENSG00000112149	ortholog_one2one
ENSMUSG00000015405	ENSG00000130234	ortholog_one2one
ENSMUSG00000015501	ENSG00000010818	ortholog_one2one
ENSMUSG00000015519	ENSG00000184530	ortholog_one2one
ENSMUSG00000015533	ENSG00000164171	ortholog_one2one
ENSMUSG00000015568	ENSG00000175445	ortholog_one2one
ENSMUSG00000015619	ENSG00000107485	ortholog_one2one
ENSMUSG00000015745	ENSG00000023902	ortholog_one2one
ENSMUSG00000015839	ENSG00000116044	ortholog_one2one
ENSMUSG00000015852	ENSG00000132704	ortholog_one2one
ENSMUSG00000015854	ENSG00000073754	ortholog_one2one
ENSMUSG00000015947	ENSG00000150337	ortholog_one2one
ENSMUSG00000015950	ENSG00000158517	ortholog_one2one
ENSMUSG00000015968	ENSG00000157388	ortholog_one2one
ENSMUSG00000016024	ENSG00000129988	ortholog_one2one
ENSMUSG00000016087	ENSG00000151702	ortholog_one2one
ENSMUSG00000016150	ENSG00000009694	ortholog_one2one
ENSMUSG00000016194	ENSG00000117594	ortholog_one2one
ENSMUSG00000016200	ENSG00000143469	ortholog_one2one
ENSMUSG00000016239	ENSG00000175556	ortholog_one2one
ENSMUSG00000016256	ENSG00000101160	ortholog_one2one
ENSMUSG00000016344	ENSG00000125534	ortholog_one2one
ENSMUSG00000016356	ENSG00000101203	ortholog_one2one
ENSMUSG00000016382	ENSG00000102024	ortholog_one2one
ENSMUSG00000016458	ENSG00000184937	ortholog_one2one
ENSMUSG00000016481	ENSG00000203710	ortholog_one2one
ENSMUSG00000016494	ENSG00000174059	ortholog_one2one
ENSMUSG00000016496	ENSG00000120217	ortholog_one2one
ENSMUSG00000016498	ENSG00000197646	ortholog_one2one
ENSMUSG00000016529	ENSG00000136634	ortholog_one2one
ENSMUSG00000016763	ENSG00000159307	ortholog_one2one
ENSMUSG00000016918	ENSG00000137573	ortholog_one2one
ENSMUSG00000017002	ENSG00000124107	ortholog_one2one
ENSMUSG00000017007	ENSG00000124232	ortholog_one2one
ENSMUSG00000017009	ENSG00000124145	ortholog_one2one
ENSMUSG00000017132	ENSG00000108669	ortholog_one2one
ENSMUSG00000017144	ENSG00000115963	ortholog_one2one
ENSMUSG00000017165	ENSG00000184502	ortholog_one2one
ENSMUSG00000017309	ENSG00000161649	ortholog_one2one
ENSMUSG00000017311	ENSG00000131096	ortholog_one2one
ENSMUSG00000017316	ENSG00000108849	ortholog_one2one
ENSMUSG00000017344	ENSG00000109072	ortholog_one2one
ENSMUSG00000017400	ENSG00000141750	ortholog_one2one
ENSMUSG00000017417	ENSG00000161381	ortholog_one2one
ENSMUSG00000017466	ENSG00000035862	ortholog_one2one
ENSMUSG00000017491	ENSG00000077092	ortholog_one2one
ENSMUSG00000017493	ENSG00000141753	ortholog_one2one
ENSMUSG00000017561	ENSG00000176390	ortholog_one2one
ENSMUSG00000017607	ENSG00000131746	ortholog_one2one
ENSMUSG00000017615	ENSG00000109079	ortholog_one2one
ENSMUSG00000017652	ENSG00000101017	ortholog_one2one
ENSMUSG00000017677	ENSG00000109046	ortholog_one2one
ENSMUSG00000017697	ENSG00000196839	ortholog_one2one
ENSMUSG00000017707	ENSG00000132824	ortholog_one2one
ENSMUSG00000017716	ENSG00000089685	ortholog_one2one
ENSMUSG00000017723	ENSG00000101443	ortholog_one2one
ENSMUSG00000017737	ENSG00000100985	ortholog_one2one
ENSMUSG00000017754	ENSG00000100979	ortholog_one2one
ENSMUSG00000017817	ENSG00000149596	ortholog_one2one
ENSMUSG00000017969	ENSG00000124212	ortholog_one2one
ENSMUSG00000017978	ENSG00000081803	ortholog_one2one
ENSMUSG00000018001	ENSG00000008256	ortholog_one2one
ENSMUSG00000018008	ENSG00000100055	ortholog_one2one
ENSMUSG00000018168	ENSG00000161405	ortholog_one2one
ENSMUSG00000018169	ENSG00000100060	ortholog_one2one
ENSMUSG00000018209	ENSG00000101109	ortholog_one2one
ENSMUSG00000018217	ENSG00000109099	ortholog_one2one
ENSMUSG00000018293	ENSG00000108518	ortholog_one2one
ENSMUSG00000018339	ENSG00000211445	ortholog_one2one
ENSMUSG00000018381	ENSG00000108798	ortholog_one2one
ENSMUSG00000018476	ENSG00000132510	ortholog_one2one
ENSMUSG00000018507	ENSG00000187688	ortholog_one2one
ENSMUSG00000018585	ENSG00000177556	ortholog_one2one
ENSMUSG00000018593	ENSG00000113140	ortholog_one2one
ENSMUSG00000018604	ENSG00000135111	ortholog_one2one
ENSMUSG00000018623	ENSG00000137673	ortholog_one2one
ENSMUSG00000018654	ENSG00000185811	ortholog_one2one
ENSMUSG00000018796	ENSG00000151726	ortholog_one2one
ENSMUSG00000018821	ENSG00000119986	ortholog_one2one
ENSMUSG00000018822	ENSG00000120057	ortholog_one2one
ENSMUSG00000018845	ENSG00000141161	ortholog_one2one
ENSMUSG00000018849	ENSG00000113645	ortholog_one2one
ENSMUSG00000018899	ENSG00000125347	ortholog_one2one
ENSMUSG00000018919	ENSG00000142484	ortholog_one2one
ENSMUSG00000018920	ENSG00000161921	ortholog_one2one
ENSMUSG00000018924	ENSG00000161905	ortholog_one2one
ENSMUSG00000018932	ENSG00000034152	ortholog_one2one
ENSMUSG00000019102	ENSG00000108602	ortholog_one2one
ENSMUSG00000019256	ENSG00000106546	ortholog_one2one
ENSMUSG00000019278	ENSG00000015413	ortholog_one2one
ENSMUSG00000019326	ENSG00000131471	ortholog_one2one
ENSMUSG00000019359	ENSG00000130055	ortholog_one2one
ENSMUSG00000019487	ENSG00000125733	ortholog_one2one
ENSMUSG00000019489	ENSG00000125726	ortholog_one2one
ENSMUSG00000019539	ENSG00000142552	ortholog_one2one
ENSMUSG00000019577	ENSG00000004799	ortholog_one2one
ENSMUSG00000019647	ENSG00000092421	ortholog_one2one
ENSMUSG00000019762	ENSG00000009765	ortholog_one2one
ENSMUSG00000019772	ENSG00000146469	ortholog_one2one
ENSMUSG00000019789	ENSG00000135547	ortholog_one2one
ENSMUSG00000019790	ENSG00000164506	ortholog_one2one
ENSMUSG00000019820	ENSG00000152818	ortholog_one2one
ENSMUSG00000019823	ENSG00000135596	ortholog_one2one
ENSMUSG00000019828	ENSG00000152822	ortholog_one2one
ENSMUSG00000019843	ENSG00000010810	ortholog_one2one
ENSMUSG00000019846	ENSG00000112769	ortholog_one2one
ENSMUSG00000019850	ENSG00000118503	ortholog_one2one
ENSMUSG00000019851	ENSG00000112378	ortholog_one2one
ENSMUSG00000019872	ENSG00000172594	ortholog_one2one
ENSMUSG00000019874	ENSG00000164434	ortholog_one2one
ENSMUSG00000019880	ENSG00000146374	ortholog_one2one
ENSMUSG00000019888	ENSG00000182050	ortholog_one2one
ENSMUSG00000019890	ENSG00000133636	ortholog_one2one
ENSMUSG00000019899	ENSG00000196569	ortholog_one2one
ENSMUSG00000019900	ENSG00000185002	ortholog_one2one
ENSMUSG00000019923	ENSG00000122952	ortholog_one2one
ENSMUSG00000019929	ENSG00000011465	ortholog_one2one
ENSMUSG00000019942	ENSG00000170312	ortholog_one2one
ENSMUSG00000019947	ENSG00000150347	ortholog_one2one
ENSMUSG00000019960	ENSG00000139318	ortholog_one2one
ENSMUSG00000019966	ENSG00000049130	ortholog_one2one
ENSMUSG00000019970	ENSG00000118515	ortholog_one2one
ENSMUSG00000019978	ENSG00000079819	ortholog_one2one
ENSMUSG00000019982	ENSG00000118513	ortholog_one2one
ENSMUSG00000019987	ENSG00000118520	ortholog_one2one
ENSMUSG00000020009	ENSG00000027697	ortholog_one2one
ENSMUSG00000020027	ENSG00000120833	ortholog_one2one
ENSMUSG00000020034	ENSG00000166046	ortholog_one2one
ENSMUSG00000020038	ENSG00000008405	ortholog_one2one
ENSMUSG00000020044	ENSG00000100234	ortholog_one2one
ENSMUSG00000020051	ENSG00000171759	ortholog_one2one
ENSMUSG00000020053	ENSG00000017427	ortholog_one2one
ENSMUSG00000020077	ENSG00000122862	ortholog_one2one
ENSMUSG00000020099	ENSG00000107731	ortholog_one2one
ENSMUSG00000020108	ENSG00000168209	ortholog_one2one
ENSMUSG00000020120	ENSG00000115956	ortholog_one2one
ENSMUSG00000020123	ENSG00000166148	ortholog_one2one
ENSMUSG00000020134	ENSG00000197329	ortholog_one2one
ENSMUSG00000020143	ENSG00000134516	ortholog_one2one
ENSMUSG00000020151	ENSG00000153233	ortholog_one2one
ENSMUSG00000020154	ENSG00000127329	ortholog_one2one
ENSMUSG00000020159	ENSG00000094755	ortholog_one2one
ENSMUSG00000020160	ENSG00000143995	ortholog_one2one
ENSMUSG00000020176	ENSG00000106070	ortholog_one2one
ENSMUSG00000020177	ENSG00000090382	ortholog_one2one
ENSMUSG00000020178	ENSG00000128271	ortholog_one2one
ENSMUSG00000020181	ENSG00000067798	ortholog_one2one
ENSMUSG00000020183	ENSG00000135678	ortholog_one2one
ENSMUSG00000020186	ENSG00000175183	ortholog_one2one
ENSMUSG00000020189	ENSG00000091039	ortholog_one2one
ENSMUSG00000020190	ENSG00000099875	ortholog_one2one
ENSMUSG00000020205	ENSG00000139289	ortholog_one2one
ENSMUSG00000020218	ENSG00000156076	ortholog_one2one
ENSMUSG00000020227	ENSG00000090376	ortholog_one2one
ENSMUSG00000020241	ENSG00000142173	ortholog_one2one
ENSMUSG00000020250	ENSG00000198431	ortholog_one2one
ENSMUSG00000020253	ENSG00000164088	ortholog_one2one
ENSMUSG00000020264	ENSG00000186335	ortholog_one2one
ENSMUSG00000020272	ENSG00000072786	ortholog_one2one
ENSMUSG00000020275	ENSG00000162924	ortholog_one2one
ENSMUSG00000020310	ENSG00000099866	ortholog_one2one
ENSMUSG00000020315	ENSG00000115306	ortholog_one2one
ENSMUSG00000020325	ENSG00000070404	ortholog_one2one
ENSMUSG00000020330	ENSG00000072571	ortholog_one2one
ENSMUSG00000020354	ENSG00000170624	ortholog_one2one
ENSMUSG00000020357	ENSG00000037280	ortholog_one2one
ENSMUSG00000020363	ENSG00000131459	ortholog_one2one
ENSMUSG00000020374	ENSG00000146090	ortholog_one2one
ENSMUSG00000020388	ENSG00000131435	ortholog_one2one
ENSMUSG00000020395	ENSG00000113263	ortholog_one2one
ENSMUSG00000020399	ENSG00000135077	ortholog_one2one
ENSMUSG00000020405	ENSG00000170231	ortholog_one2one
ENSMUSG00000020407	ENSG00000183696	ortholog_one2one
ENSMUSG00000020419	ENSG00000176635	ortholog_one2one
ENSMUSG00000020427	ENSG00000146674	ortholog_one2one
ENSMUSG00000020437	ENSG00000136286	ortholog_one2one
ENSMUSG00000020439	ENSG00000183963	ortholog_one2one
ENSMUSG00000020467	ENSG00000115380	ortholog_one2one
